SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1354.95,1377.05,1322.30,1346.20,1346.20,1335.15,4200,24592,33388256.00,
500003,AEGIS LOGIS ,B ,Q,109.10,114.40,108.30,112.55,112.55,108.85,2216,185510,20717356.00,
500008,AMAR RAJA BA,A ,Q,928.00,939.30,925.00,928.65,928.65,926.70,1519,14914,13914966.00,
500009,A.SARABHAI  ,XD,Q,10.35,10.35,9.81,10.06,10.14,10.00,135,73323,742560.00,
500010,HDFC        ,A ,Q,1130.00,1130.00,1107.00,1111.60,1111.60,1131.40,1917,49728,55456913.00,
500012,ANDHRA PETRO,XC,Q,14.50,16.50,14.50,16.08,16.08,15.52,372,158509,2563321.00,
500013,ANSAL INFRAS,B ,Q,19.00,19.20,18.80,19.05,19.20,19.30,159,18073,343010.00,
500014,APPLE FINANC,XD,Q,2.21,2.48,2.21,2.31,2.39,2.40,18,3871,9139.00,
500020,BOM DYEING  ,B ,Q,50.00,51.70,49.85,50.05,49.90,49.85,1254,198311,10061156.00,
500024,ASSAMCO     ,B ,Q,6.40,6.67,6.20,6.49,6.49,6.33,1225,882638,5721841.00,
500027,ATUL LTD.   ,A ,Q,1770.30,1775.00,1749.30,1755.00,1755.00,1756.10,224,57855,101541046.00,
500028,ATV PROJECTS,XT,Q,6.85,7.53,6.83,7.35,7.20,7.18,59,24090,176679.00,
500029,AUTOLITE(I) ,B ,Q,48.80,49.00,48.00,48.10,48.10,49.00,8,455,21916.00,
500030,AUTORID.FIN ,B ,Q,1.00,1.00,1.00,1.00,1.00,1.05,1,25,25.00,
500031,BAJAJ ELECT.,A ,Q,219.40,224.70,219.40,220.90,220.90,219.40,1622,16860,3748657.00,
500032,BAJAJHIND   ,B ,Q,19.75,19.95,19.45,19.60,19.60,19.75,934,520281,10213342.00,
500033,FORCE MOTR  ,B ,Q,3196.00,3354.00,3171.00,3324.50,3324.50,3185.50,15927,216151,712920502.00,
500034,BAJFINANCE  ,A ,Q,6975.00,7017.65,6802.00,6850.25,6850.25,6974.80,993,4931,33953912.00,
500038,BALRAM.CHINI,A ,Q,104.10,106.70,104.10,105.60,105.60,105.20,1854,310610,32793048.00,
500039,BANCO PROD. ,B ,Q,138.40,138.40,134.00,134.50,135.20,136.00,215,9833,1331657.00,
500040,CENTURY TEXT,A ,Q,629.70,633.55,615.00,621.95,621.95,625.90,3472,93404,58277679.00,
500041,BANNARI AMAN,B ,Q,1750.00,1765.00,1740.00,1754.25,1765.00,1750.25,17,5159,9102987.00,
500042,BASF INDIA  ,B ,Q,895.00,919.00,880.35,885.05,887.00,888.25,176,1111,990481.00,
500043,BATA INDIA  ,A ,Q,561.00,563.25,551.00,558.75,558.75,558.25,1198,23062,12834457.00,
500048,BEML LTD    ,A ,Q,944.40,951.80,914.10,916.90,916.90,936.85,3899,68763,63857239.00,
500049,BHARAT ELECT,A ,Q,1175.00,1186.00,1168.00,1172.05,1168.00,1168.00,963,15391,18124031.00,
500052,BHANSALI ENG,B ,Q,19.20,19.30,19.00,19.25,19.25,19.30,97,23936,457661.00,
500055,BHUSH STEEL ,A ,Q,42.90,42.90,40.15,41.10,41.10,42.60,935,123376,5104441.00,
500058,BIHAR SPONGE,XT,Q,2.42,2.42,2.30,2.34,2.34,2.42,11,2930,6773.00,
500059,BINANI IND. ,B ,Q,67.15,68.00,66.90,67.00,66.90,67.35,63,3321,223263.00,
500060,BIRLA ERIC. ,T ,Q,36.50,36.50,35.25,35.25,35.25,35.60,15,2238,79777.00,
500067,BLUE STAR   ,B ,Q,431.00,437.35,426.70,432.40,430.50,428.40,370,8374,3610541.00,
500068,DISA INDIA  ,XC,Q,3835.00,3895.00,3835.00,3875.00,3875.00,3845.00,3,18,69590.00,
500069,BNK CAPITAL ,XD,Q,29.75,32.00,29.50,29.95,29.95,30.95,11,1257,38238.00,
500074,BPL LTD.    ,B ,Q,31.00,31.65,29.80,30.40,30.40,31.90,346,36107,1100875.00,
500078,CAMPH.& ALL ,XC,Q,582.60,587.50,575.00,587.00,587.50,587.10,47,1364,793490.00,
500083,CENTURY EXT ,B ,Q,2.14,2.15,2.01,2.01,2.01,2.11,31,23608,48034.00,
500084,CESC LTD.   ,A ,Q,537.00,552.00,536.20,547.55,547.55,534.95,2057,30586,16652519.00,
500085,CHAMBAL FERT,B ,Q,59.10,60.70,58.45,60.10,60.10,59.05,1391,141865,8469082.00,
500086,EXIDE IND.  ,A ,Q,143.80,146.90,142.80,143.90,143.90,143.30,2447,192407,27857653.00,
500087,CIPLA LTD.  ,A ,Q,531.80,534.00,523.80,525.90,525.90,531.50,2201,75082,39553460.00,
500089,DIC INDIA   ,B ,Q,655.00,655.00,601.25,606.50,606.50,668.75,351,4920,3024641.00,
500092,CRISIL LTD  ,A ,Q,2048.90,2056.90,1961.05,1982.75,1984.00,2028.85,743,6786,13570567.00,
500093,CROMPT.GREAV,A ,Q,58.50,59.60,58.15,59.25,59.25,58.05,2306,629631,37079992.00,
500096,DABUR (I)   ,A ,Q,267.00,269.35,262.60,266.80,266.80,265.50,1045,36702,9750081.00,
500097,DALMIASUG   ,B ,Q,101.00,101.00,98.15,99.70,99.95,99.25,214,10887,1086633.00,
500101,ARVIND Ltd  ,A ,Q,278.00,284.70,276.85,279.60,279.60,275.75,4857,227875,64110946.00,
500102,BALARPUR IND,B ,Q,17.55,17.55,16.90,17.10,17.10,17.37,265,119015,2037190.00,
500103,BHEL        ,A ,Q,126.00,127.75,124.40,125.75,125.75,127.70,5176,618180,77765298.00,
500104,HIND.PETRO  ,A ,Q,847.15,863.00,844.00,859.95,859.95,852.30,1978,38554,33014455.00,
500106,IFCI LTD    ,A ,Q,26.30,26.45,25.25,25.65,25.65,26.25,5086,1504345,38872827.00,
500108,MAHA.TELE   ,B ,Q,18.50,18.65,18.10,18.20,18.20,18.15,707,230430,4229076.00,
500109,MRPL        ,A ,Q,70.00,71.00,69.00,70.05,70.05,68.85,1941,210396,14707890.00,
500110,CHENNAI PET.,B ,Q,222.95,228.00,220.60,222.60,222.60,220.55,3663,198672,44517774.00,
500111,REL.CAP.    ,A ,Q,402.50,406.60,396.50,401.25,401.25,401.10,9922,458086,183823227.00,
500112,STATE BANK  ,A ,Q,201.00,202.50,195.95,197.30,197.30,199.90,18743,2266852,452195077.00,
500113,STEEL AUTH. ,A ,Q,46.00,46.30,45.00,45.30,45.30,46.00,1639,339471,15384563.00,
500114,TITAN       ,A ,Q,373.00,375.05,369.50,373.50,373.50,370.40,972,24819,9265625.00,
500116,IDBI BANK L ,A ,Q,72.75,72.75,70.65,71.10,71.10,72.50,2070,411115,29386029.00,
500117,DCW LTD.    ,B ,Q,26.25,26.70,25.85,26.20,26.20,26.10,440,126986,3330914.00,
500119,DHAMPUR SUGA,B ,Q,86.90,88.35,86.00,86.50,86.50,87.25,636,59383,5174427.00,
500120,DIAMINES&CHM,XD,Q,38.05,39.60,38.00,38.75,38.75,39.35,17,3980,154080.00,
500123,ELANTAS     ,B ,Q,1341.00,1363.00,1341.00,1342.25,1342.25,1356.25,58,514,690777.00,
500124,DR.REDDY'S  ,A ,Q,3163.00,3169.00,3106.80,3119.60,3119.60,3136.05,2088,17193,53729354.00,
500125,E.I.D.PAR   ,A ,Q,227.00,234.50,227.00,232.25,232.00,230.20,1547,52377,12096468.00,
500126,MERCK LTD   ,B ,Q,675.25,675.25,664.00,665.75,667.00,674.00,107,1617,1081445.00,
500128,ELEC.CASTING,B ,Q,19.00,19.15,18.70,18.80,18.80,19.00,137,45976,869128.00,
500132,EMPEE SUGARS,XD,Q,6.15,6.86,6.15,6.50,6.50,6.58,29,16014,104747.00,
500133,ESAB INDIA  ,B ,Q,570.00,570.00,560.00,560.00,560.00,579.00,7,33,18585.00,
500135,ESSEL PROP  ,B ,Q,189.50,189.50,186.00,186.80,186.30,189.45,328,9832,1836574.00,
500136,ESTER INDUS.,B ,Q,63.80,64.90,61.80,62.50,62.30,63.80,647,23631,1495389.00,
500139,FEDDER.LLYOD,B ,Q,83.30,84.50,82.35,82.90,82.50,83.40,424,36831,3060846.00,
500141,FERRO ALLOYS,XD,Q,5.10,5.15,5.00,5.06,5.00,5.04,38,20937,105253.00,
500144,FINOL. CABLE,A ,Q,284.00,284.85,280.60,281.10,280.60,281.70,82,1596,450903.00,
500147,CMI FPE     ,XC,Q,463.00,463.00,444.20,445.10,445.10,441.90,6,171,77659.00,
500148,UFLEX LTD   ,B ,Q,181.00,184.00,178.00,181.30,181.30,181.05,955,31963,5800167.00,
500150,FOSECO INDIA,B ,Q,1310.00,1337.00,1302.00,1328.25,1335.00,1326.00,44,1367,1804432.00,
500151,GOLDEN TOB  ,B ,Q,41.10,41.10,40.05,41.00,41.00,41.05,15,1136,46482.00,
500153,GANESH BENZO,XD,Q,21.00,21.10,20.50,20.80,20.70,20.70,41,10243,212684.00,
500155,GARDEN SILK ,B ,Q,24.65,24.65,24.00,24.00,24.00,24.50,59,7484,181138.00,
500159,METROGLOBL  ,XC,Q,64.60,68.90,64.60,68.90,68.90,68.50,4,401,26833.00,
500160,GTL LTD.    ,B ,Q,12.98,12.98,12.15,12.30,12.30,12.30,115,21331,262350.00,
500162,PARRYSUGR   ,B ,Q,38.00,39.15,38.00,39.15,39.15,38.95,2,200,7715.00,
500163,GODFREY PH  ,B ,Q,1172.60,1175.80,1125.00,1129.30,1129.30,1161.60,2302,15265,17484625.00,
500164,GODREJ IND  ,A ,Q,366.85,369.10,358.75,360.55,360.55,366.60,682,8968,3247385.00,
500165,KANSAI NERO ,A ,Q,294.15,299.35,290.00,290.65,290.20,296.20,389,8952,2619010.00,
500166,GOODRICKE   ,XC,Q,192.00,195.00,187.20,189.70,189.70,190.00,371,41683,7990815.00,
500168,GOODYEAR (I),B ,Q,514.70,514.70,505.70,507.40,507.40,511.70,133,4976,2531899.00,
500170,GTN INDUS   ,B ,Q,10.70,10.91,10.31,10.58,10.80,10.60,9,3745,39806.00,
500171,GHCL LTD    ,B ,Q,137.75,138.80,132.65,133.40,133.40,136.70,857,35933,4867491.00,
500173,GUJ.FLOURO  ,B ,Q,548.00,567.50,545.65,560.25,563.00,545.00,610,11571,6499518.00,
500179,HCL INFOSYS ,B ,Q,46.15,46.50,44.80,45.10,45.10,45.70,2001,520332,23676867.00,
500180,HDFC BANK   ,A ,Q,1100.00,1100.00,1085.60,1092.00,1092.00,1092.30,1699,44330,48341652.00,
500182,HEROMOTOCO  ,A ,Q,3000.00,3021.00,2960.00,2967.40,2967.40,3001.00,2374,16578,49454952.00,
500183,HIMACHAL FUT,B ,Q,18.70,18.90,18.15,18.25,18.25,18.60,813,701478,12902207.00,
