SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1155.05,1175.15,1142.00,1147.30,1147.30,1148.10,1091,6193,7143708.00,
500003,AEGIS LOGIS ,B ,Q,102.50,104.50,101.15,101.60,101.60,101.00,661,44006,4521893.00,
500008,AMAR RAJA BA,A ,Q,915.00,915.00,888.00,892.75,892.75,905.50,1279,14721,13207494.00,
500009,A.SARABHAI  ,XD,Q,6.12,6.15,5.92,6.09,6.15,6.06,111,149989,897516.00,
500010,HDFC        ,A ,Q,1159.95,1166.95,1147.00,1158.75,1158.75,1152.60,2545,58053,67156650.00,
500012,ANDHRA PETRO,XC,Q,11.60,12.09,11.60,11.88,11.89,11.75,63,28644,342163.00,
500013,ANSAL INFRAS,B ,Q,17.85,18.80,17.85,18.05,18.05,17.90,173,20230,369292.00,
500014,APPLE FINANC,XD,Q,2.03,2.27,1.95,2.06,2.00,2.26,49,28339,57793.00,
500020,BOM DYEING  ,B ,Q,45.65,46.85,44.75,46.60,46.60,45.05,1438,173061,7982174.00,
500023,ASIANHOTNR  ,B ,Q,116.80,119.50,115.00,118.40,118.50,118.20,14,99,11540.00,
500024,ASSAMCO     ,B ,Q,5.25,5.45,5.15,5.20,5.20,5.27,277,190771,1002012.00,
500027,ATUL LTD.   ,A ,Q,1440.00,1465.00,1430.00,1455.15,1465.00,1446.10,140,1377,1991127.00,
500028,ATV PROJECTS,XT,Q,8.00,8.49,8.00,8.39,8.39,8.29,36,11460,93915.00,
500029,AUTOLITE(I) ,B ,Q,46.00,46.90,44.60,45.40,44.65,45.60,43,1501,67819.00,
500031,BAJAJ ELECT.,A ,Q,189.75,191.95,187.35,188.00,188.40,187.75,1180,33827,6410242.00,
500032,BAJAJHIND   ,B ,Q,16.60,16.67,15.95,16.24,16.24,16.44,1136,632902,10314013.00,
500033,FORCE MOTR  ,B ,Q,2714.00,2739.00,2650.00,2660.00,2660.00,2705.50,5078,82159,220772407.00,
500034,BAJFINANCE  ,A ,Q,6390.10,6439.00,6307.00,6390.15,6400.50,6406.55,1346,6626,42347485.00,
500038,BALRAM.CHINI,A ,Q,95.30,96.80,91.50,92.15,92.15,95.75,5082,764723,71200502.00,
500039,BANCO PROD. ,B ,Q,100.50,101.80,98.30,99.50,100.00,101.10,308,21225,2128894.00,
500040,CENTURY TEXT,A ,Q,474.00,493.50,471.00,485.35,485.35,473.85,8650,221430,107460259.00,
500041,BANNARI AMAN,B ,Q,1249.00,1249.00,1201.50,1206.25,1201.50,1246.25,29,343,421059.00,
500042,BASF INDIA  ,B ,Q,777.00,780.00,769.10,773.25,771.70,773.30,171,5319,4120729.00,
500043,BATA INDIA  ,A ,Q,485.00,494.50,481.00,491.25,491.25,484.40,1399,23648,11569474.00,
500048,BEML LTD    ,A ,Q,1037.00,1052.00,1031.60,1035.75,1032.00,1037.70,1035,10150,10555659.00,
500049,BHARAT ELECT,A ,Q,1085.00,1103.80,1078.55,1086.85,1086.85,1081.00,2947,38572,42134260.00,
500052,BHANSALI ENG,B ,Q,19.15,19.70,18.80,19.30,19.15,19.25,156,31705,607304.00,
500055,BHUSH STEEL ,A ,Q,36.90,37.40,35.45,36.10,36.10,36.30,1100,117459,4287448.00,
500058,BIHAR SPONGE,XT,Q,2.70,2.70,2.47,2.47,2.47,2.59,21,5800,14650.00,
500059,BINANI IND. ,B ,Q,58.35,59.20,57.50,57.50,57.50,58.35,49,39748,2319199.00,
500060,BIRLA ERIC. ,T ,Q,34.00,34.50,33.35,33.65,33.65,33.55,33,29469,995685.00,
500067,BLUE STAR   ,B ,Q,331.90,345.00,323.20,333.90,333.90,329.60,325,4893,1620689.00,
500068,DISA INDIA  ,XC,Q,4248.00,4249.00,4150.00,4243.00,4249.00,4100.00,5,17,72132.00,
500069,BNK CAPITAL ,XD,Q,28.75,28.75,26.50,28.00,28.00,27.50,9,710,19362.00,
500074,BPL LTD.    ,B ,Q,29.25,29.50,29.00,29.05,29.50,29.20,104,33919,988878.00,
500078,CAMPH.& ALL ,XC,Q,451.10,462.00,445.10,453.70,453.70,456.20,72,1412,641024.00,
500083,CENTURY EXT ,B ,Q,1.80,1.80,1.72,1.73,1.75,1.79,5,5309,9233.00,
500084,CESC LTD.   ,A ,Q,465.10,473.00,457.55,460.05,464.50,468.85,1208,22349,10345572.00,
500085,CHAMBAL FERT,B ,Q,55.00,55.20,54.50,54.70,54.65,54.85,250,17545,959335.00,
500086,EXIDE IND.  ,A ,Q,133.00,133.50,131.55,131.95,131.95,133.40,819,52562,6961455.00,
500087,CIPLA LTD.  ,A ,Q,533.15,538.80,531.25,534.70,534.70,534.45,2721,201642,108259164.00,
500089,DIC INDIA   ,B ,Q,565.00,565.00,545.00,545.75,545.00,563.25,32,265,146189.00,
500092,CRISIL LTD  ,A ,Q,1799.95,1799.95,1786.00,1793.20,1793.00,1795.55,40,203,364801.00,
500093,CROMPT.GREAV,A ,Q,151.45,153.20,145.30,146.35,146.35,150.90,13326,1780130,265859556.00,
500096,DABUR (I)   ,A ,Q,245.25,251.00,245.15,249.70,250.00,246.00,1228,43197,10786017.00,
500097,DALMIASUG   ,B ,Q,95.15,98.30,92.00,93.40,93.60,94.20,703,44443,4220409.00,
500101,ARVIND Ltd  ,A ,Q,272.10,277.30,269.60,273.75,273.75,272.30,3045,140328,38406777.00,
500102,BALARPUR IND,B ,Q,12.98,13.05,12.75,12.98,12.98,12.88,673,206591,2670611.00,
500103,BHEL        ,A ,Q,104.40,105.15,102.85,103.65,103.65,104.35,6821,949153,98589410.00,
500104,HIND.PETRO  ,A ,Q,738.50,738.50,723.00,727.70,727.70,720.75,3065,68793,50180944.00,
500106,IFCI LTD    ,A ,Q,23.10,23.35,22.80,23.05,23.05,23.20,711,506471,11671338.00,
500108,MAHA.TELE   ,B ,Q,17.75,18.35,17.45,17.65,17.65,17.90,1506,553512,9894393.00,
500109,MRPL        ,A ,Q,58.50,59.75,57.40,57.65,57.40,58.70,733,142455,8306658.00,
500110,CHENNAI PET.,B ,Q,190.80,195.00,188.40,189.75,189.75,191.25,2281,84905,16240950.00,
500111,REL.CAP.    ,A ,Q,370.95,378.45,363.80,368.95,368.95,371.50,12268,606510,225228415.00,
500112,STATE BANK  ,A ,Q,180.20,182.65,177.70,180.35,180.35,180.65,18971,2656995,479276692.00,
500113,STEEL AUTH. ,A ,Q,42.90,43.05,41.70,42.65,42.65,42.75,1663,580785,24664022.00,
500114,TITAN       ,A ,Q,338.40,347.05,337.05,345.60,345.60,338.85,1421,37357,12829436.00,
500116,IDBI BANK L ,A ,Q,64.90,65.50,63.65,65.10,65.10,66.05,4333,892002,57767809.00,
500117,DCW LTD.    ,B ,Q,22.85,23.15,22.40,22.70,22.60,22.70,468,137336,3122097.00,
500119,DHAMPUR SUGA,B ,Q,71.25,73.25,68.50,70.10,70.10,71.25,1276,92767,6537758.00,
500120,DIAMINES&CHM,XD,Q,39.75,39.80,37.00,37.60,37.60,37.50,47,4336,162033.00,
500123,ELANTAS     ,B ,Q,1266.00,1299.00,1266.00,1285.00,1285.00,1299.75,56,1451,1867626.00,
500124,DR.REDDY'S  ,A ,Q,3175.00,3223.35,3175.00,3211.90,3211.90,3184.25,2443,20732,66479228.00,
500125,E.I.D.PAR   ,A ,Q,190.10,195.60,190.10,191.05,191.05,192.20,918,25870,4986498.00,
500126,MERCK LTD   ,B ,Q,660.00,660.00,657.00,658.50,660.00,658.00,163,5656,3728880.00,
500128,ELEC.CASTING,B ,Q,18.55,18.70,18.05,18.30,18.30,18.35,231,75842,1385945.00,
500132,EMPEE SUGARS,XD,Q,5.12,6.20,5.12,5.80,5.90,5.83,15,754,4431.00,
500133,ESAB INDIA  ,B ,Q,550.00,569.60,545.00,557.50,568.00,541.00,22,83,46177.00,
500135,ESSEL PROP  ,B ,Q,152.90,155.45,152.90,154.30,154.10,152.00,479,22396,3455080.00,
500136,ESTER INDUS.,B ,Q,61.10,64.55,59.00,62.25,62.25,59.10,4964,307939,19127394.00,
500139,FEDDER.LLYOD,B ,Q,64.80,65.60,64.10,64.85,64.85,64.10,464,37297,2423601.00,
500141,FERRO ALLOYS,XD,Q,4.75,4.88,4.62,4.70,4.67,4.74,47,23408,111174.00,
500142,FGP LTD.    ,XD,Q,3.07,3.07,3.07,3.07,3.07,3.23,3,450,1381.00,
500143,P.H.CAPITAL ,XD,Q,19.70,21.70,19.70,21.70,21.70,20.70,2,90,1793.00,
500144,FINOL. CABLE,A ,Q,233.00,233.00,229.05,230.10,230.10,231.90,105,2905,670748.00,
500147,CMI FPE     ,XC,Q,393.00,393.90,387.50,390.00,390.00,390.70,20,255,99555.00,
500148,UFLEX LTD   ,B ,Q,152.70,158.60,152.40,153.25,153.25,152.70,1390,66674,10362759.00,
500150,FOSECO INDIA,B ,Q,1180.00,1188.00,1176.00,1176.00,1176.00,1190.50,11,41,48372.00,
500151,GOLDEN TOB  ,B ,Q,39.70,40.00,38.30,39.35,39.15,40.60,28,1672,65404.00,
500153,GANESH BENZO,XD,Q,21.50,21.50,19.10,19.90,19.90,20.90,108,32423,649378.00,
500155,GARDEN SILK ,B ,Q,23.45,23.50,22.55,22.80,22.80,23.00,37,6248,143378.00,
500159,METROGLOBL  ,XC,Q,64.55,69.00,64.55,68.65,68.00,67.00,7,72,4690.00,
500160,GTL LTD.    ,B ,Q,12.30,12.30,11.75,11.83,11.83,12.11,138,23741,282879.00,
500162,PARRYSUGR   ,B ,Q,27.90,27.90,27.90,27.90,27.90,27.20,1,500,13950.00,
500163,GODFREY PH  ,B ,Q,1210.20,1221.70,1191.30,1203.50,1203.50,1197.35,3314,45689,55006443.00,
500164,GODREJ IND  ,A ,Q,332.40,334.00,327.00,332.00,330.00,330.45,1999,52915,17492556.00,
500165,KANSAI NERO ,A ,Q,280.00,281.50,275.15,276.40,276.40,274.85,754,18791,5221291.00,
500166,GOODRICKE   ,XC,Q,170.90,171.40,164.80,167.10,167.10,168.70,188,16385,2743117.00,
500168,GOODYEAR (I),B ,Q,460.30,479.70,460.30,476.90,478.80,474.50,67,2696,1274901.00,
500170,GTN INDUS   ,B ,Q,10.31,10.98,10.05,10.23,10.23,10.55,18,2011,20610.00,
500171,GHCL LTD    ,B ,Q,115.75,116.70,111.25,112.25,112.00,114.50,211,9022,1027367.00,
500173,GUJ.FLOURO  ,B ,Q,496.00,498.25,481.90,484.45,483.00,493.25,322,4133,2020449.00,
500179,HCL INFOSYS ,B ,Q,41.60,42.15,40.40,40.95,40.95,41.50,1409,540256,22307946.00,
