SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1267.75,1305.70,1258.00,1291.60,1291.60,1267.50,1240,6415,8216959.00,
500003,AEGIS LOGIS ,B ,Q,114.50,116.50,112.00,115.20,115.20,114.05,1318,82989,9510616.00,
500008,AMAR RAJA BA,A ,Q,936.00,960.00,931.60,953.70,953.70,937.65,1307,16477,15631070.00,
500009,A.SARABHAI  ,XD,Q,10.06,10.72,10.06,10.59,10.59,10.43,127,88621,927124.00,
500010,HDFC        ,A ,Q,1083.30,1102.00,1075.60,1088.80,1088.80,1087.00,3665,97312,105881543.00,
500012,ANDHRA PETRO,XC,Q,16.00,16.00,15.51,15.87,15.94,15.76,98,35569,561659.00,
500013,ANSAL INFRAS,B ,Q,17.60,19.40,17.60,19.05,19.05,19.15,104,12842,244629.00,
500014,APPLE FINANC,XD,Q,2.14,2.30,2.12,2.26,2.15,2.22,19,5950,12973.00,
500020,BOM DYEING  ,B ,Q,49.75,50.30,48.90,49.15,49.15,49.95,816,145720,7221925.00,
500023,ASIANHOTNR  ,B ,Q,114.70,114.80,111.90,111.90,111.90,107.80,3,3,341.00,
500024,ASSAMCO     ,B ,Q,6.08,6.28,5.86,6.00,6.00,6.09,296,319145,1928626.00,
500027,ATUL LTD.   ,A ,Q,1833.00,1894.95,1781.95,1798.65,1798.65,1832.00,5032,34471,63378450.00,
500028,ATV PROJECTS,XT,Q,7.10,7.50,7.10,7.45,7.50,7.30,15,9250,68734.00,
500029,AUTOLITE(I) ,B ,Q,55.00,59.50,52.70,56.65,56.00,53.35,146,9291,516931.00,
500031,BAJAJ ELECT.,A ,Q,225.45,234.90,225.00,228.80,228.80,225.65,1302,44176,10194265.00,
500032,BAJAJHIND   ,B ,Q,19.30,19.95,19.15,19.85,19.85,19.25,1377,679744,13265174.00,
500033,FORCE MOTR  ,B ,Q,3406.00,3519.00,3360.00,3493.50,3493.50,3397.50,38687,584332,2020798215.00,
500034,BAJFINANCE  ,A ,Q,6970.60,6970.60,6801.00,6832.20,6832.20,6964.25,1130,4050,27802175.00,
500038,BALRAM.CHINI,A ,Q,103.30,108.90,99.90,107.15,107.15,102.25,3429,466943,48841069.00,
500039,BANCO PROD. ,B ,Q,131.50,134.90,131.50,132.70,132.70,132.80,108,5401,719699.00,
500040,CENTURY TEXT,A ,Q,622.55,642.00,611.50,638.45,638.45,623.05,5350,224125,141513014.00,
500041,BANNARI AMAN,B ,Q,1830.00,1839.00,1745.00,1790.25,1790.25,1861.50,67,410,727029.00,
500042,BASF INDIA  ,B ,Q,913.50,917.00,896.70,905.00,905.00,909.55,246,1173,1065407.00,
500043,BATA INDIA  ,A ,Q,557.00,598.40,550.00,586.05,586.05,554.20,2062,45726,26435946.00,
