SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1299.00,1304.40,1240.60,1292.95,1292.00,1346.20,6365,46874,60332245.00,
500003,AEGIS LOGIS ,B ,Q,114.70,120.50,112.15,119.05,119.05,112.55,6885,471124,55531139.00,
500008,AMAR RAJA BA,A ,Q,929.00,954.80,921.05,949.95,949.95,928.65,2949,40288,37965722.00,
500009,A.SARABHAI  ,XD,Q,10.06,10.49,10.05,10.17,10.16,10.06,134,129650,1334219.00,
500010,HDFC        ,A ,Q,1111.60,1132.00,1103.90,1127.85,1127.85,1111.60,2551,66679,74491110.00,
500012,ANDHRA PETRO,XC,Q,15.60,16.47,15.60,16.40,16.47,16.08,245,133415,2170087.00,
500013,ANSAL INFRAS,B ,Q,18.35,19.20,18.35,19.10,19.05,19.05,66,6105,115716.00,
500014,APPLE FINANC,XD,Q,2.50,2.50,2.19,2.35,2.40,2.31,25,11471,27027.00,
500020,BOM DYEING  ,B ,Q,49.80,50.90,49.50,50.25,50.25,50.05,639,96687,4867009.00,
500023,ASIANHOTNR  ,B ,Q,112.50,112.50,108.50,108.50,108.50,111.90,2,1000,110500.00,
500024,ASSAMCO     ,B ,Q,6.52,6.56,6.28,6.40,6.40,6.49,383,288873,1854310.00,
500027,ATUL LTD.   ,A ,Q,1755.00,1847.00,1745.00,1785.90,1785.90,1755.00,2230,31916,56907735.00,
500028,ATV PROJECTS,XT,Q,7.35,7.50,7.00,7.46,7.05,7.35,22,3961,28487.00,
500029,AUTOLITE(I) ,B ,Q,48.50,57.70,47.05,57.70,57.70,48.10,416,31221,1727159.00,
500030,AUTORID.FIN ,B ,Q,0.95,0.95,0.95,0.95,0.95,1.00,3,296,281.00,
500031,BAJAJ ELECT.,A ,Q,224.65,224.65,219.00,219.95,219.95,220.90,365,12754,2810026.00,
500032,BAJAJHIND   ,B ,Q,19.50,20.30,19.50,19.85,19.85,19.60,1643,784049,15577340.00,
500033,FORCE MOTR  ,B ,Q,3329.00,3425.00,3315.00,3378.50,3378.50,3324.50,12322,169845,574123082.00,
500034,BAJFINANCE  ,A ,Q,6843.10,7136.90,6843.10,6997.50,6997.50,6850.25,1755,8381,58885908.00,
500038,BALRAM.CHINI,A ,Q,105.10,107.80,104.60,105.45,105.45,105.60,2309,285422,30261145.00,
500039,BANCO PROD. ,B ,Q,134.80,136.30,134.20,135.30,134.40,134.50,130,7845,1060771.00,
500040,CENTURY TEXT,A ,Q,617.10,630.75,616.40,627.30,627.30,621.95,3650,135601,84678179.00,
500041,BANNARI AMAN,B ,Q,1758.25,1850.00,1750.00,1832.25,1850.00,1754.25,42,460,826897.00,
500042,BASF INDIA  ,B ,Q,899.40,932.30,880.65,919.85,919.85,885.05,772,5596,5037987.00,
500043,BATA INDIA  ,A ,Q,561.00,568.50,558.45,564.95,564.95,558.75,1626,32976,18606799.00,
500048,BEML LTD    ,A ,Q,917.50,934.60,910.50,930.00,930.00,916.90,2466,33082,30642405.00,
500049,BHARAT ELECT,A ,Q,1172.00,1193.70,1168.90,1190.00,1190.00,1172.05,1777,16872,19965483.00,
500052,BHANSALI ENG,B ,Q,19.30,20.00,19.15,19.50,19.50,19.25,221,41376,814150.00,
500055,BHUSH STEEL ,A ,Q,40.85,43.60,40.40,42.45,42.45,41.10,2117,252283,10676843.00,
500058,BIHAR SPONGE,XT,Q,2.25,2.45,2.25,2.45,2.45,2.34,13,6630,15843.00,
500059,BINANI IND. ,B ,Q,67.30,68.15,66.85,67.45,67.40,67.00,92,7188,485196.00,
500060,BIRLA ERIC. ,T ,Q,35.25,36.00,35.10,35.90,35.90,35.25,15,7637,273118.00,
500067,BLUE STAR   ,B ,Q,432.40,444.00,429.05,434.35,434.10,432.40,632,10093,4396319.00,
500068,DISA INDIA  ,XC,Q,3845.00,3928.00,3726.00,3867.50,3850.00,3875.00,22,44,168178.00,
500069,BNK CAPITAL ,XD,Q,31.00,31.00,31.00,31.00,31.00,29.95,1,10,310.00,
500074,BPL LTD.    ,B ,Q,30.10,30.45,29.75,30.10,30.10,30.40,109,25664,773804.00,
500078,CAMPH.& ALL ,XC,Q,575.00,590.00,575.00,588.70,586.00,587.00,54,3551,2087331.00,
500083,CENTURY EXT ,B ,Q,1.92,2.00,1.91,1.95,2.00,2.01,26,45173,86802.00,
500084,CESC LTD.   ,A ,Q,548.30,550.00,538.95,547.25,547.25,547.55,1895,25299,13778099.00,
500085,CHAMBAL FERT,B ,Q,60.50,60.55,59.50,60.30,60.15,60.10,713,38488,2315489.00,
500086,EXIDE IND.  ,A ,Q,144.50,148.00,144.15,147.65,147.65,143.90,3689,234172,34281022.00,
500087,CIPLA LTD.  ,A ,Q,525.50,542.05,524.20,540.35,540.35,525.90,4436,133032,71304805.00,
500089,DIC INDIA   ,B ,Q,611.00,613.75,603.75,607.25,607.25,606.50,78,277,168957.00,
500092,CRISIL LTD  ,A ,Q,1984.00,2015.85,1952.70,1990.10,1990.10,1982.75,474,2914,5806166.00,
500093,CROMPT.GREAV,A ,Q,59.95,60.60,58.90,59.90,59.90,59.25,2833,740124,44322392.00,
500096,DABUR (I)   ,A ,Q,267.40,269.00,264.70,266.55,266.55,266.80,1297,51307,13699357.00,
500097,DALMIASUG   ,B ,Q,99.00,100.60,97.50,98.35,98.35,99.70,371,32576,3230103.00,
500101,ARVIND Ltd  ,A ,Q,279.00,286.80,276.60,284.65,284.65,279.60,4993,241316,68423648.00,
500102,BALARPUR IND,B ,Q,17.06,17.70,16.90,17.23,17.23,17.10,884,203245,3525739.00,
500103,BHEL        ,A ,Q,124.60,130.75,124.60,129.10,129.10,125.75,6661,905370,116463785.00,
500104,HIND.PETRO  ,A ,Q,860.00,867.45,854.00,856.45,856.45,859.95,1564,36748,31644549.00,
500106,IFCI LTD    ,A ,Q,25.55,26.15,25.05,25.80,25.80,25.65,7250,1058269,27281863.00,
500108,MAHA.TELE   ,B ,Q,18.40,18.40,18.00,18.15,18.15,18.20,389,181150,3290112.00,
500109,MRPL        ,A ,Q,69.00,71.00,68.50,69.05,69.05,70.05,769,72669,5061936.00,
500110,CHENNAI PET.,B ,Q,224.30,224.30,217.50,217.95,217.95,222.60,1733,78474,17218313.00,
500111,REL.CAP.    ,A ,Q,402.00,411.40,399.85,408.20,408.20,401.25,11361,499294,202984615.00,
500112,STATE BANK  ,A ,Q,196.65,201.40,194.60,200.85,200.85,197.30,20559,2179231,433147121.00,
500113,STEEL AUTH. ,A ,Q,45.20,46.55,45.00,46.20,46.20,45.30,2260,477225,21938102.00,
500114,TITAN       ,A ,Q,373.60,373.80,366.90,371.90,371.90,373.50,1959,44084,16325507.00,
500116,IDBI BANK L ,A ,Q,70.60,71.70,69.50,70.95,70.95,71.10,3338,770125,54314817.00,
500117,DCW LTD.    ,B ,Q,26.40,28.20,26.10,27.85,27.85,26.20,1819,488871,13493072.00,
500119,DHAMPUR SUGA,B ,Q,86.60,89.25,85.80,87.45,87.45,86.50,1137,102062,8949290.00,
500120,DIAMINES&CHM,XD,Q,38.90,40.90,38.90,39.25,39.25,38.75,23,1464,58506.00,
500123,ELANTAS     ,B ,Q,1333.00,1390.00,1320.00,1365.50,1364.00,1342.25,230,3575,4906683.00,
500124,DR.REDDY'S  ,A ,Q,3100.00,3134.70,3100.00,3119.85,3115.00,3119.60,1524,14485,45129908.00,
500125,E.I.D.PAR   ,A ,Q,228.35,233.05,226.80,230.40,229.35,232.25,1466,52262,12052554.00,
500126,MERCK LTD   ,B ,Q,662.25,686.00,662.25,673.75,675.00,665.75,200,2238,1512241.00,
500128,ELEC.CASTING,B ,Q,18.95,19.35,18.80,19.05,19.05,18.80,342,90924,1731592.00,
500132,EMPEE SUGARS,XD,Q,6.31,6.60,6.20,6.33,6.59,6.50,22,7085,45245.00,
500133,ESAB INDIA  ,B ,Q,577.00,594.00,565.25,593.75,593.75,560.00,22,271,156647.00,
500135,ESSEL PROP  ,B ,Q,185.10,187.40,181.70,184.45,184.45,186.80,218,5521,1023117.00,
500136,ESTER INDUS.,B ,Q,61.80,64.60,61.80,63.50,63.50,62.50,720,23224,1476418.00,
500139,FEDDER.LLYOD,B ,Q,82.90,84.15,82.90,83.65,83.65,82.90,223,26628,2230288.00,
500141,FERRO ALLOYS,XD,Q,4.76,5.20,4.76,5.00,4.91,5.06,40,26983,137550.00,
500142,FGP LTD.    ,XD,Q,3.12,3.12,3.12,3.12,3.12,3.12,1,851,2655.00,
500144,FINOL. CABLE,A ,Q,281.50,281.85,279.75,280.35,280.00,281.10,182,4805,1347451.00,
500147,CMI FPE     ,XC,Q,430.80,484.00,430.80,468.70,459.50,445.10,29,268,123919.00,
500148,UFLEX LTD   ,B ,Q,181.15,182.00,180.30,181.25,181.25,181.30,320,12374,2244228.00,
500150,FOSECO INDIA,B ,Q,1324.75,1339.00,1302.00,1332.75,1335.00,1328.25,28,71,93701.00,
500151,GOLDEN TOB  ,B ,Q,39.90,42.50,39.00,41.75,42.45,41.00,92,8775,356664.00,
500153,GANESH BENZO,XD,Q,20.45,21.95,20.45,21.60,21.60,20.80,95,27162,575739.00,
500155,GARDEN SILK ,B ,Q,24.50,24.50,24.10,24.40,24.50,24.00,10,1970,48089.00,
500159,METROGLOBL  ,XC,Q,65.05,68.85,65.05,68.80,68.80,68.90,5,318,20888.00,
500160,GTL LTD.    ,B ,Q,12.50,12.59,12.19,12.37,12.45,12.30,173,54437,673949.00,
500162,PARRYSUGR   ,B ,Q,38.20,40.60,38.20,40.45,40.60,39.15,22,4582,182643.00,
500163,GODFREY PH  ,B ,Q,1044.00,1044.00,917.00,931.25,931.25,1129.30,20247,327059,314164139.00,
500164,GODREJ IND  ,A ,Q,359.85,360.35,353.00,354.15,354.15,360.55,1026,16816,5979933.00,
500165,KANSAI NERO ,A ,Q,292.40,296.40,290.10,292.95,292.95,290.65,764,17229,5045373.00,
500166,GOODRICKE   ,XC,Q,192.80,196.30,190.30,190.90,190.90,189.70,908,96704,18716132.00,
500168,GOODYEAR (I),B ,Q,520.00,532.00,511.50,514.40,514.40,507.40,213,9127,4722890.00,
500170,GTN INDUS   ,B ,Q,10.90,10.90,10.35,10.46,10.88,10.58,11,563,6059.00,
