SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1280.00,1295.00,1275.00,1281.10,1281.10,1275.05,815,4254,5455783.00,
500003,AEGIS LOGIS ,B ,Q,115.85,117.00,114.25,114.75,114.75,114.75,651,39707,4588017.00,
500008,AMAR RAJA BA,A ,Q,955.55,962.90,946.30,949.10,949.10,950.85,680,9167,8740941.00,
500009,A.SARABHAI  ,XD,Q,8.88,9.45,8.88,9.20,9.19,9.19,60,29958,278165.00,
500010,HDFC        ,A ,Q,1215.50,1216.00,1190.00,1195.35,1195.35,1203.65,3235,56229,67475254.00,
500012,ANDHRA PETRO,XC,Q,14.70,14.75,14.40,14.55,14.70,14.65,97,64057,931358.00,
500013,ANSAL INFRAS,B ,Q,18.85,18.85,18.65,18.75,18.65,18.55,52,6082,114273.00,
500014,APPLE FINANC,XD,Q,2.24,2.24,2.11,2.12,2.12,2.11,13,1852,3986.00,
500020,BOM DYEING  ,B ,Q,47.75,48.95,47.75,48.05,48.05,47.50,617,82716,3994675.00,
500023,ASIANHOTNR  ,B ,Q,106.80,106.80,106.80,106.80,106.80,109.30,3,30,3204.00,
500024,ASSAMCO     ,B ,Q,5.80,5.84,5.63,5.73,5.75,5.70,125,118632,679471.00,
500027,ATUL LTD.   ,A ,Q,1999.00,2040.00,1952.00,2025.90,2033.00,1978.60,1479,13422,27171082.00,
500028,ATV PROJECTS,XT,Q,6.54,7.00,6.54,6.75,7.00,6.71,18,1841,12341.00,
500030,AUTORID.FIN ,B ,Q,0.64,0.64,0.64,0.64,0.64,0.67,4,700,448.00,
500031,BAJAJ ELECT.,A ,Q,232.50,234.90,231.00,232.35,232.35,232.40,458,15525,3609165.00,
500032,BAJAJHIND   ,B ,Q,21.15,21.75,20.95,21.15,21.15,20.70,3009,1709016,36382341.00,
500033,FORCE MOTR  ,B ,Q,3250.00,3285.00,3236.00,3254.00,3254.00,3239.50,3248,34099,111087714.00,
500034,BAJFINANCE  ,A ,Q,7500.00,7690.00,7500.00,7650.50,7603.00,7479.05,1546,9643,73641899.00,
500038,BALRAM.CHINI,A ,Q,116.35,117.50,113.80,114.75,114.75,115.10,5197,628667,72755466.00,
500039,BANCO PROD. ,B ,Q,128.90,130.40,128.10,129.70,129.30,127.70,92,3875,501193.00,
500040,CENTURY TEXT,A ,Q,621.00,627.60,617.30,621.75,621.75,618.30,2941,91330,56856844.00,
500041,BANNARI AMAN,B ,Q,1809.25,1832.50,1780.00,1800.25,1810.00,1809.00,45,251,453496.00,
500042,BASF INDIA  ,B ,Q,969.95,1042.50,961.20,1020.60,1020.60,954.00,5038,44311,45033022.00,
500043,BATA INDIA  ,A ,Q,571.00,580.55,571.00,572.60,572.60,573.95,1214,21579,12398892.00,
500048,BEML LTD    ,A ,Q,914.00,930.00,914.00,917.65,917.65,911.80,1263,18841,17334804.00,
500049,BHARAT ELECT,A ,Q,1162.00,1168.10,1158.15,1162.20,1163.55,1157.15,1450,14251,16572064.00,
500052,BHANSALI ENG,B ,Q,20.35,21.85,20.00,21.20,21.20,19.95,1187,285095,6064837.00,
500055,BHUSH STEEL ,A ,Q,37.80,38.35,37.70,37.90,37.90,37.95,178,20372,774308.00,
500058,BIHAR SPONGE,XT,Q,2.50,2.50,2.50,2.50,2.50,2.63,11,5845,14612.00,
500059,BINANI IND. ,B ,Q,70.30,71.45,70.00,70.25,70.25,70.00,55,5235,368692.00,
500060,BIRLA ERIC. ,T ,Q,35.40,35.40,34.20,34.55,34.55,34.45,8,1124,39021.00,
500067,BLUE STAR   ,B ,Q,430.00,433.60,422.30,424.55,424.55,426.30,288,7779,3306874.00,
500068,DISA INDIA  ,XC,Q,3994.00,3994.00,3876.00,3896.50,3900.00,3950.00,8,34,132589.00,
500069,BNK CAPITAL ,XD,Q,30.50,30.50,30.50,30.50,30.50,29.85,1,100,3050.00,
500074,BPL LTD.    ,B ,Q,28.25,28.40,27.80,27.95,27.80,27.90,84,25112,705632.00,
500078,CAMPH.& ALL ,XC,Q,589.75,595.00,585.00,590.00,590.00,588.25,36,2185,1288761.00,
500083,CENTURY EXT ,B ,Q,1.90,1.95,1.83,1.95,1.95,1.92,12,6840,13193.00,
500084,CESC LTD.   ,A ,Q,535.00,540.10,528.85,535.30,535.30,532.80,693,8824,4712682.00,
