SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1225.20,1240.00,1216.20,1223.85,1216.35,1224.70,1385,7017,8624133.00,
500003,AEGIS LOGIS ,B ,Q,128.85,129.35,125.40,125.75,125.75,128.45,863,72333,9149896.00,
500008,AMAR RAJA BA,A ,Q,868.00,874.35,860.65,861.95,861.95,868.60,1204,15326,13256518.00,
500009,A.SARABHAI  ,XD,Q,7.41,7.70,7.20,7.30,7.30,7.42,100,382347,2844188.00,
500010,HDFC        ,A ,Q,1240.00,1262.50,1239.70,1244.65,1244.65,1252.70,4086,125354,157146693.00,
500012,ANDHRA PETRO,XC,Q,13.60,13.79,13.20,13.73,13.79,13.58,63,15769,214515.00,
500013,ANSAL INFRAS,B ,Q,22.30,22.50,21.65,21.95,22.00,21.85,145,28831,639853.00,
500014,APPLE FINANC,XD,Q,2.44,2.44,2.25,2.38,2.38,2.26,30,9165,21699.00,
500020,BOM DYEING  ,B ,Q,46.70,46.90,46.25,46.45,46.45,46.30,909,300571,13989396.00,
500023,ASIANHOTNR  ,B ,Q,109.00,113.70,104.00,107.75,107.40,110.00,68,1160,124607.00,
500024,ASSAMCO     ,B ,Q,6.22,7.09,5.90,6.85,6.85,6.11,2442,2282287,15112931.00,
500027,ATUL LTD.   ,A ,Q,2080.00,2092.80,2011.00,2028.85,2021.00,2046.15,416,2848,5842667.00,
500028,ATV PROJECTS,XT,Q,7.15,7.15,6.70,6.83,7.07,7.00,21,3248,21922.00,
500029,AUTOLITE(I) ,B ,Q,61.20,61.20,56.60,56.95,56.95,60.80,206,7758,451368.00,
500030,AUTORID.FIN ,T ,Q,0.58,0.58,0.58,0.58,0.58,0.58,2,850,493.00,
500031,BAJAJ ELECT.,A ,Q,239.45,246.50,238.85,245.00,245.00,237.40,1933,152759,37272737.00,
500032,BAJAJHIND   ,B ,Q,21.20,22.00,20.85,21.35,21.35,21.20,2218,1095089,23458689.00,
500033,FORCE MOTR  ,B ,Q,3050.00,3068.70,3000.00,3005.45,3005.45,3044.75,3685,47625,143943555.00,
500034,BAJFINANCE  ,A ,Q,7979.00,8240.70,7979.00,8154.70,8154.70,7989.15,1938,10946,89397533.00,
500038,BALRAM.CHINI,A ,Q,125.30,131.80,123.45,130.05,130.05,126.10,6938,934888,120356283.00,
500039,BANCO PROD. ,B ,Q,155.05,164.00,150.00,157.30,157.30,153.25,6695,575916,90672425.00,
500040,CENTURY TEXT,A ,Q,666.00,671.90,659.00,664.35,664.35,659.65,2599,104757,69876922.00,
500041,BANNARI AMAN,B ,Q,2124.95,2180.00,2091.00,2112.40,2106.00,2143.10,79,189,402449.00,
500042,BASF INDIA  ,B ,Q,1128.25,1165.00,1127.35,1134.35,1134.35,1128.70,837,7914,9095016.00,
500043,BATA INDIA  ,A ,Q,549.30,554.70,547.75,549.10,549.10,545.65,883,14365,7920154.00,
500048,BEML LTD    ,A ,Q,854.55,880.75,854.55,875.05,875.05,853.40,3101,61257,53424353.00,
500049,BHARAT ELECT,A ,Q,1273.50,1282.00,1270.00,1270.85,1270.45,1267.80,1134,41208,52491042.00,
500051,BHAG GAS    ,Z ,Q,0.57,0.57,0.57,0.57,0.57,0.59,3,440,250.00,
500052,BHANSALI ENG,B ,Q,20.15,21.30,20.00,20.55,20.55,19.80,446,107408,2232646.00,
500055,BHUSH STEEL ,A ,Q,42.50,43.80,41.75,42.05,42.05,40.55,2024,341279,14554536.00,
500059,BINANI IND. ,B ,Q,84.05,85.00,81.80,82.15,82.15,83.35,543,46784,3891733.00,
500060,BIRLA ERIC. ,T ,Q,36.25,36.90,36.00,36.50,36.35,36.45,33,5393,196558.00,
500067,BLUE STAR   ,B ,Q,430.05,443.80,430.05,436.55,437.00,437.90,276,5028,2193880.00,
500068,DISA INDIA  ,XC,Q,4051.00,4056.00,4051.00,4055.20,4055.00,4100.00,5,6,24327.00,
500069,BNK CAPITAL ,XD,Q,31.30,31.35,30.50,30.85,30.90,29.95,31,5854,181561.00,
500074,BPL LTD.    ,B ,Q,36.40,36.40,34.05,34.25,34.25,35.65,452,79516,2765071.00,
500078,CAMPH.& ALL ,XC,Q,524.00,535.00,516.05,529.75,530.00,524.80,73,2428,1288442.00,
500083,CENTURY EXT ,B ,Q,2.30,2.44,2.16,2.42,2.42,2.22,42,52960,126086.00,
500084,CESC LTD.   ,A ,Q,598.85,606.00,595.60,597.95,597.95,596.35,968,19710,11831017.00,
500085,CHAMBAL FERT,B ,Q,71.60,72.30,69.15,70.00,70.00,71.45,1917,246722,17529444.00,
500086,EXIDE IND.  ,A ,Q,169.85,177.20,169.70,175.75,175.75,169.65,3543,309612,53590330.00,
500087,CIPLA LTD.  ,A ,Q,502.90,509.80,499.80,507.90,507.90,501.45,3406,113372,57346231.00,
500089,DIC INDIA   ,B ,Q,598.30,598.45,591.10,591.30,591.30,590.60,22,313,185960.00,
500092,CRISIL LTD  ,A ,Q,2020.00,2070.00,2016.70,2047.35,2047.35,2014.35,229,667,1363821.00,
500093,CROMPT.GREAV,A ,Q,74.00,74.70,73.50,73.80,73.80,73.75,1767,385043,28552796.00,
500096,DABUR (I)   ,A ,Q,308.65,313.50,308.50,310.70,310.70,308.20,1799,73441,22896282.00,
500097,DALMIASUG   ,B ,Q,147.10,155.75,141.25,152.30,152.30,146.75,3897,235897,35396679.00,
500101,ARVIND Ltd  ,A ,Q,331.70,331.90,327.00,327.90,327.90,328.35,2684,159234,52434328.00,
500102,BALARPUR IND,B ,Q,16.80,16.85,16.30,16.50,16.50,16.30,711,470276,7794248.00,
500103,BHEL        ,A ,Q,129.00,132.85,128.75,131.90,131.90,127.65,10140,1454951,191197383.00,
500104,HIND.PETRO  ,A ,Q,1000.00,1030.00,993.10,1020.55,1020.55,995.95,6793,224396,228805274.00,
500106,IFCI LTD    ,A ,Q,26.65,27.20,26.65,26.85,26.85,26.75,1712,1375835,37059478.00,
500108,MAHA.TELE   ,B ,Q,22.30,22.80,22.15,22.25,22.25,22.30,825,343252,7672781.00,
500109,MRPL        ,A ,Q,68.50,69.50,67.55,68.00,68.00,67.85,1148,126164,8634101.00,
500110,CHENNAI PET.,B ,Q,198.70,203.40,196.25,198.45,198.45,197.30,3868,205719,41079490.00,
500111,REL.CAP.    ,A ,Q,403.70,403.70,396.90,398.15,398.15,400.05,6972,369279,147767250.00,
500112,STATE BANK  ,A ,Q,220.50,220.95,218.90,219.65,219.65,218.65,10474,1369667,301255802.00,
500113,STEEL AUTH. ,A ,Q,46.00,46.85,45.75,46.15,46.15,45.15,3814,1104585,51206046.00,
500114,TITAN       ,A ,Q,410.00,413.25,403.25,405.35,405.35,404.70,3529,129548,52805415.00,
500116,IDBI BANK L ,A ,Q,70.35,72.10,70.10,70.95,70.95,69.75,2909,653626,46457863.00,
500117,DCW LTD.    ,B ,Q,31.50,32.90,30.80,32.25,32.25,31.45,3337,1113865,35659020.00,
500119,DHAMPUR SUGA,B ,Q,121.75,122.60,118.20,120.45,120.45,121.35,3103,351294,42335580.00,
500120,DIAMINES&CHM,XD,Q,38.25,39.15,38.10,39.10,39.15,38.25,11,5013,195940.00,
500123,ELANTAS     ,B ,Q,1660.00,1669.25,1602.80,1609.95,1603.00,1650.95,222,2696,4396633.00,
500124,DR.REDDY'S  ,A ,Q,3400.00,3498.00,3400.00,3477.25,3477.25,3383.50,3857,39905,138638171.00,
500125,E.I.D.PAR   ,A ,Q,255.00,268.00,255.00,261.45,261.45,252.05,4063,240394,62943971.00,
500126,MERCK LTD   ,B ,Q,703.00,715.00,703.00,713.80,712.00,704.85,204,3380,2402263.00,
500128,ELEC.CASTING,B ,Q,18.60,19.10,18.45,18.75,18.75,18.45,329,89087,1669555.00,
500132,EMPEE SUGARS,XD,Q,8.65,8.70,8.15,8.69,8.70,7.91,186,71223,602825.00,
500133,ESAB INDIA  ,B ,Q,665.00,667.00,641.00,663.10,663.00,667.50,74,834,551203.00,
500135,ESSEL PROP  ,B ,Q,195.40,201.40,195.40,200.45,201.00,195.40,502,16978,3379125.00,
500136,ESTER INDUS.,B ,Q,54.60,59.30,54.60,58.05,58.05,54.10,2332,165710,9512628.00,
500139,FEDDER.LLYOD,B ,Q,74.95,75.05,73.70,73.80,73.80,74.45,131,17355,1287182.00,
500141,FERRO ALLOYS,XD,Q,5.49,6.00,5.49,5.83,5.83,5.46,162,64677,376114.00,
500142,FGP LTD.    ,XD,Q,2.53,2.53,2.53,2.53,2.53,2.41,3,300,759.00,
500143,P.H.CAPITAL ,XD,Q,20.90,22.85,20.90,22.85,22.85,21.80,5,2209,50092.00,
500144,FINOL. CABLE,A ,Q,363.00,365.45,354.00,361.10,360.00,362.70,542,13042,4715479.00,
500147,CMI FPE     ,XC,Q,400.00,405.00,400.00,400.50,405.00,400.00,23,2323,929491.00,
500148,UFLEX LTD   ,B ,Q,231.15,233.80,227.15,228.15,228.15,229.95,795,41156,9475684.00,
500150,FOSECO INDIA,B ,Q,1430.00,1477.00,1401.00,1408.40,1420.00,1407.05,53,187,267629.00,
500151,GOLDEN TOB  ,B ,Q,43.35,43.40,41.50,42.35,42.50,41.45,29,2277,96590.00,
500153,GANESH BENZO,XD,Q,31.00,31.40,28.50,29.20,29.20,30.40,393,101455,3026120.00,
500155,GARDEN SILK ,B ,Q,36.35,36.95,35.50,35.95,35.75,36.15,286,42504,1531022.00,
500159,METROGLOBL  ,XC,Q,66.00,69.50,66.00,69.05,69.45,66.60,31,1489,101605.00,
500160,GTL LTD.    ,B ,Q,12.60,12.75,12.30,12.37,12.40,12.41,295,126401,1579841.00,
500162,PARRYSUGR   ,B ,Q,53.30,53.90,51.10,51.10,51.10,54.05,31,2034,107060.00,
500163,GODFREY PH  ,B ,Q,873.20,880.95,862.00,863.45,863.45,871.05,663,8601,7489535.00,
500164,GODREJ IND  ,A ,Q,397.00,401.90,395.50,398.55,398.55,397.00,787,21837,8710352.00,
500165,KANSAI NERO ,A ,Q,325.00,325.00,307.00,309.20,309.20,310.05,378,9758,3020437.00,
500166,GOODRICKE   ,XC,Q,165.10,180.40,163.10,178.15,178.15,165.05,1652,194680,33913568.00,
500168,GOODYEAR (I),B ,Q,526.50,538.90,520.10,531.80,531.80,526.35,219,7625,4075695.00,
500170,GTN INDUS   ,B ,Q,17.15,17.40,16.60,17.20,16.60,17.17,19,4904,83625.00,
500171,GHCL LTD    ,B ,Q,189.00,194.00,188.10,192.00,192.00,185.75,3081,201140,38419838.00,
500173,GUJ.FLOURO  ,B ,Q,530.00,535.00,521.00,525.10,526.00,527.50,102,738,392335.00,
500174,GUJ.LEASE   ,B ,Q,1.40,1.40,1.40,1.40,1.40,1.34,5,5000,7000.00,
500179,HCL INFOSYS ,B ,Q,42.75,44.80,42.60,43.00,43.00,39.20,8670,2565435,111834835.00,
500180,HDFC BANK   ,A ,Q,1178.90,1184.60,1171.20,1173.90,1173.90,1175.90,1072,57565,67899126.00,
500182,HEROMOTOCO  ,A ,Q,3185.50,3199.90,3160.35,3176.65,3176.65,3180.85,2647,19361,61565741.00,
500183,HIMACHAL FUT,B ,Q,18.35,19.35,18.05,19.15,19.15,18.25,4797,3193998,60225717.00,
500184,HIMADRI CHEM,B ,Q,33.25,34.00,32.90,33.30,33.30,32.95,1957,1189123,39606579.00,
500185,HIND.CONSTN.,A ,Q,20.50,21.40,20.50,21.05,21.05,20.50,1996,945814,19884558.00,
500186,HIND.OIL EXP,B ,Q,39.05,39.20,38.40,38.65,38.65,38.80,526,92589,3588289.00,
500187,HSIL        ,B ,Q,274.60,278.00,272.60,273.45,272.80,276.10,319,14486,3980512.00,
500188,HINDUS.ZI   ,A ,Q,180.50,181.00,176.00,177.40,177.00,179.80,2309,62723,11157902.00,
500189,HINDUJA VENT,B ,Q,419.00,421.00,413.10,419.40,419.95,420.00,28,589,245721.00,
500191,HMT LTD.    ,T ,Q,41.65,42.50,41.65,42.35,42.50,41.90,84,10619,447256.00,
