SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1230.00,1237.05,1215.00,1228.05,1228.05,1237.00,681,2949,3621487.00,
500003,AEGIS LOGIS ,B ,Q,124.00,124.75,118.55,120.85,120.85,123.50,1892,111786,13490597.00,
500008,AMAR RAJA BA,A ,Q,870.00,879.80,859.95,864.25,860.05,873.90,1626,20884,18147619.00,
500009,A.SARABHAI  ,XD,Q,7.92,8.29,7.75,7.93,7.93,8.02,64,14842,117579.00,
500010,HDFC        ,A ,Q,1197.30,1205.50,1183.00,1201.30,1201.30,1205.85,3046,62099,74222585.00,
500012,ANDHRA PETRO,XC,Q,12.75,13.14,12.20,12.95,12.89,13.15,288,132610,1698341.00,
500013,ANSAL INFRAS,B ,Q,22.00,22.00,21.15,21.50,21.55,21.90,140,21844,470698.00,
500014,APPLE FINANC,XD,Q,2.12,2.29,2.12,2.25,2.25,2.23,23,6051,13305.00,
500020,BOM DYEING  ,B ,Q,45.55,45.80,44.45,44.65,44.65,45.30,839,159290,7189663.00,
500023,ASIANHOTNR  ,B ,Q,107.00,107.00,106.00,106.05,106.05,109.90,7,76,8059.00,
500024,ASSAMCO     ,B ,Q,6.10,6.20,5.70,5.87,5.87,6.12,640,554666,3276888.00,
500027,ATUL LTD.   ,A ,Q,1888.70,1892.15,1865.00,1868.25,1874.35,1869.95,181,1130,2117315.00,
500028,ATV PROJECTS,XT,Q,7.29,7.29,6.73,7.00,7.00,7.07,13,1666,11631.00,
500029,AUTOLITE(I) ,B ,Q,49.95,49.95,49.00,49.00,49.00,49.35,7,757,37370.00,
500031,BAJAJ ELECT.,A ,Q,231.00,232.90,226.00,229.65,229.50,230.35,877,29064,6642704.00,
500032,BAJAJHIND   ,B ,Q,23.15,23.40,21.00,21.80,21.80,22.90,7510,4337015,96342519.00,
500033,FORCE MOTR  ,B ,Q,2909.95,2920.00,2880.00,2892.15,2892.15,2914.00,2346,21130,61166762.00,
500034,BAJFINANCE  ,A ,Q,7650.00,7659.60,7550.30,7580.80,7580.80,7647.10,671,3934,29891864.00,
500038,BALRAM.CHINI,A ,Q,121.00,124.60,113.90,118.15,118.15,120.80,11467,1071521,126578501.00,
500039,BANCO PROD. ,B ,Q,145.00,148.45,142.00,144.10,144.10,144.30,1140,63648,9245733.00,
500040,CENTURY TEXT,A ,Q,634.75,635.50,615.25,621.50,619.30,637.70,3148,105435,65660163.00,
500041,BANNARI AMAN,B ,Q,2140.00,2140.00,1921.00,2018.30,2019.00,2095.85,472,2517,5062425.00,
500042,BASF INDIA  ,B ,Q,1030.00,1048.05,1019.05,1023.90,1023.90,1021.95,876,7172,7431761.00,
500043,BATA INDIA  ,A ,Q,545.00,545.00,534.00,535.50,535.50,543.25,817,17737,9526752.00,
500048,BEML LTD    ,A ,Q,849.80,849.90,835.00,840.20,840.20,848.10,1770,24892,20971300.00,
500049,BHARAT ELECT,A ,Q,1260.15,1283.00,1258.00,1269.00,1269.00,1260.50,3219,46818,59450593.00,
500052,BHANSALI ENG,B ,Q,20.80,20.80,20.10,20.20,20.20,20.50,85,25142,513211.00,
500055,BHUSH STEEL ,A ,Q,40.05,40.80,39.40,39.85,39.85,39.65,1200,163478,6562672.00,
500058,BIHAR SPONGE,XT,Q,2.38,2.60,2.38,2.60,2.60,2.50,5,1230,3166.00,
500059,BINANI IND. ,B ,Q,68.50,69.00,67.20,68.35,68.35,67.40,136,13461,919173.00,
500060,BIRLA ERIC. ,T ,Q,36.25,36.25,35.00,35.90,36.00,35.40,52,8836,313555.00,
500067,BLUE STAR   ,B ,Q,435.00,440.00,428.90,435.30,436.95,432.95,280,2670,1158041.00,
500068,DISA INDIA  ,XC,Q,3900.00,3900.00,3900.00,3900.00,3900.00,3900.15,6,3810,14859000.00,
500074,BPL LTD.    ,B ,Q,29.15,29.20,27.70,28.40,28.40,28.95,146,39540,1121984.00,
500078,CAMPH.& ALL ,XC,Q,526.00,536.00,515.20,517.70,518.00,528.30,49,1840,960796.00,
500083,CENTURY EXT ,B ,Q,2.25,2.30,2.22,2.22,2.22,2.33,26,19648,44162.00,
500084,CESC LTD.   ,A ,Q,582.05,588.00,573.45,579.70,579.70,577.90,1581,28244,16440628.00,
500085,CHAMBAL FERT,B ,Q,68.20,68.20,66.25,67.65,67.20,67.25,742,55687,3746585.00,
