SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1340.25,1367.80,1318.00,1321.35,1321.35,1340.70,1843,9971,13345229.00,
500003,AEGIS LOGIS ,B ,Q,113.35,114.80,108.95,111.05,111.05,111.25,1916,148171,16592322.00,
500008,AMAR RAJA BA,A ,Q,969.00,969.00,920.40,923.50,923.50,937.55,2420,32416,30496024.00,
500009,A.SARABHAI  ,XD,Q,9.10,10.49,9.03,10.43,10.43,9.05,780,717480,7024092.00,
500010,HDFC        ,A ,Q,1146.35,1158.50,1134.70,1138.40,1138.40,1127.30,3574,103804,118997308.00,
500012,ANDHRA PETRO,XC,Q,15.05,16.30,14.70,16.19,16.19,14.86,812,359216,5637359.00,
500013,ANSAL INFRAS,B ,Q,19.60,19.80,19.45,19.60,19.50,19.90,124,15899,311496.00,
500014,APPLE FINANC,XD,Q,2.10,2.10,1.91,2.04,1.99,2.19,20,7504,15445.00,
500020,BOM DYEING  ,B ,Q,49.00,50.40,49.00,49.25,49.25,48.80,2002,335894,16671813.00,
500023,ASIANHOTNR  ,B ,Q,114.00,114.00,108.00,110.90,112.50,108.30,33,9101,1014011.00,
500024,ASSAMCO     ,B ,Q,5.80,5.89,5.73,5.77,5.74,5.79,226,170335,988753.00,
500027,ATUL LTD.   ,A ,Q,1804.00,1847.00,1787.85,1796.95,1796.95,1802.90,1019,6351,11546243.00,
500028,ATV PROJECTS,XT,Q,8.11,8.11,7.55,7.62,7.55,7.89,33,2919,22513.00,
500029,AUTOLITE(I) ,B ,Q,47.90,47.90,45.70,46.75,46.65,47.85,24,1950,90274.00,
500031,BAJAJ ELECT.,A ,Q,225.00,225.00,219.00,219.95,220.45,223.25,566,22132,4909372.00,
500032,BAJAJHIND   ,B ,Q,20.05,20.75,19.65,19.75,19.75,20.10,1850,1769115,35243045.00,
500033,FORCE MOTR  ,B ,Q,3250.00,3274.00,3211.00,3230.00,3230.00,3245.50,5296,66215,214973312.00,
500034,BAJFINANCE  ,A ,Q,7350.00,7422.05,7186.05,7216.15,7245.00,7313.00,1348,5131,37371234.00,
500038,BALRAM.CHINI,A ,Q,109.80,111.90,104.75,106.05,106.05,109.55,6701,766195,82213607.00,
500039,BANCO PROD. ,B ,Q,128.30,133.90,128.30,133.20,133.20,126.40,499,32804,4334743.00,
500040,CENTURY TEXT,A ,Q,618.00,638.30,615.65,630.95,630.95,618.05,6528,202567,127216361.00,
500041,BANNARI AMAN,B ,Q,1754.00,1760.00,1675.00,1731.00,1731.00,1751.75,111,512,881154.00,
500042,BASF INDIA  ,B ,Q,914.20,915.00,896.00,904.30,901.00,901.80,250,1290,1165154.00,
500043,BATA INDIA  ,A ,Q,553.00,561.30,553.00,555.80,554.50,551.40,1344,21980,12246911.00,
500048,BEML LTD    ,A ,Q,955.00,1000.10,939.15,946.50,946.50,952.50,3509,47895,45764629.00,
500049,BHARAT ELECT,A ,Q,1205.00,1220.80,1192.80,1198.50,1198.50,1204.15,1729,16481,19857732.00,
500051,BHAG GAS    ,Z ,Q,0.62,0.62,0.62,0.62,0.62,0.64,2,600,372.00,
500052,BHANSALI ENG,B ,Q,19.75,20.70,19.50,20.45,20.50,19.60,307,75628,1525881.00,
500055,BHUSH STEEL ,A ,Q,37.05,39.45,37.05,38.60,38.60,37.05,2660,373877,14305399.00,
500058,BIHAR SPONGE,XT,Q,2.49,2.50,2.42,2.42,2.42,2.50,5,2000,4962.00,
500059,BINANI IND. ,B ,Q,68.40,69.00,67.25,67.65,67.65,67.00,163,14138,960754.00,
500060,BIRLA ERIC. ,T ,Q,37.20,37.40,35.70,36.00,35.70,36.75,30,5170,186467.00,
500067,BLUE STAR   ,B ,Q,410.00,414.95,405.00,414.20,414.20,406.80,359,9040,3727887.00,
500068,DISA INDIA  ,XC,Q,3901.00,3929.50,3821.00,3929.50,3929.50,3900.00,9,46,176331.00,
500074,BPL LTD.    ,B ,Q,28.55,29.50,28.40,29.05,29.05,28.35,209,48019,1390368.00,
500078,CAMPH.& ALL ,XC,Q,595.00,604.50,567.00,584.60,586.00,574.60,75,2034,1184193.00,
500083,CENTURY EXT ,B ,Q,2.24,2.39,2.19,2.24,2.26,2.30,41,31395,69996.00,
500084,CESC LTD.   ,A ,Q,509.00,535.90,507.00,525.90,525.90,506.25,2845,49755,26211212.00,
500085,CHAMBAL FERT,B ,Q,59.90,61.35,58.85,60.35,60.35,59.65,1469,107129,6436830.00,
500086,EXIDE IND.  ,A ,Q,134.90,137.85,134.65,136.95,136.95,133.50,1181,120627,16474028.00,
500087,CIPLA LTD.  ,A ,Q,526.50,530.50,520.30,527.25,527.25,524.15,6403,216060,113758722.00,
500089,DIC INDIA   ,B ,Q,655.00,668.00,653.00,658.00,659.00,657.25,99,629,413635.00,
500092,CRISIL LTD  ,A ,Q,2030.00,2244.40,2030.00,2152.20,2152.20,1983.35,4348,38287,83130694.00,
500093,CROMPT.GREAV,A ,Q,55.50,60.65,55.30,58.90,58.90,55.20,10079,2439632,143229914.00,
500096,DABUR (I)   ,A ,Q,272.90,273.65,265.00,267.60,267.60,273.35,1412,39185,10508945.00,
500097,DALMIASUG   ,B ,Q,106.35,107.60,97.00,98.90,98.45,104.90,1023,60601,6051239.00,
500101,ARVIND Ltd  ,A ,Q,269.30,271.50,265.20,267.50,267.50,270.75,3479,203636,54428516.00,
500102,BALARPUR IND,B ,Q,17.10,17.84,16.80,17.54,17.54,17.21,1409,783286,13606233.00,
500103,BHEL        ,A ,Q,132.30,134.20,131.75,132.85,132.85,132.35,5739,830751,110451552.00,
500104,HIND.PETRO  ,A ,Q,872.00,872.00,838.65,846.05,846.05,868.50,4205,85799,72795641.00,
500106,IFCI LTD    ,A ,Q,24.95,25.50,24.85,25.10,25.10,24.90,1125,894900,22504108.00,
500108,MAHA.TELE   ,B ,Q,18.30,18.55,18.10,18.25,18.25,18.25,637,340093,6202319.00,
500109,MRPL        ,A ,Q,67.00,67.75,65.50,66.05,66.05,67.10,594,74313,4957198.00,
500110,CHENNAI PET.,B ,Q,211.95,215.00,208.20,212.75,212.75,209.90,2637,150676,31981927.00,
500111,REL.CAP.    ,A ,Q,388.00,392.45,381.75,383.20,383.20,386.60,8123,384626,148383855.00,
500112,STATE BANK  ,A ,Q,188.40,188.65,184.30,187.30,187.30,186.85,19781,1965713,366872214.00,
500113,STEEL AUTH. ,A ,Q,45.00,46.90,44.40,46.40,46.40,44.45,4395,1509900,69270993.00,
500114,TITAN       ,A ,Q,369.95,378.75,364.00,374.60,374.60,360.50,4554,122395,45608490.00,
500116,IDBI BANK L ,A ,Q,71.30,72.60,70.30,71.95,71.95,71.40,3815,813161,58187567.00,
500117,DCW LTD.    ,B ,Q,26.80,27.15,25.90,26.50,26.45,26.80,656,149443,3969819.00,
500119,DHAMPUR SUGA,B ,Q,93.10,94.30,86.30,86.90,86.90,92.75,1933,166099,14754137.00,
500120,DIAMINES&CHM,XD,Q,41.00,42.15,39.70,39.85,39.70,41.75,39,4655,188924.00,
500123,ELANTAS     ,B ,Q,1313.00,1329.00,1302.50,1320.25,1320.25,1313.25,230,1635,2148950.00,
500124,DR.REDDY'S  ,A ,Q,3115.00,3132.90,3103.05,3110.60,3107.00,3091.50,1835,16179,50431709.00,
500125,E.I.D.PAR   ,A ,Q,238.15,242.00,228.90,230.00,230.00,238.15,1914,109665,25722762.00,
500126,MERCK LTD   ,B ,Q,655.00,685.00,652.00,682.50,682.50,652.75,816,16667,11098710.00,
500128,ELEC.CASTING,B ,Q,18.60,19.20,18.55,18.95,18.90,18.40,326,140546,2641280.00,
500132,EMPEE SUGARS,XD,Q,7.12,7.38,6.36,6.90,6.98,7.09,58,29945,206260.00,
500133,ESAB INDIA  ,B ,Q,560.00,575.00,560.00,575.00,575.00,561.25,15,83,47101.00,
500135,ESSEL PROP  ,B ,Q,175.00,183.80,175.00,180.20,183.50,174.60,329,22285,3963226.00,
500136,ESTER INDUS.,B ,Q,57.00,59.05,55.55,58.05,58.05,56.15,1317,63645,3647443.00,
500139,FEDDER.LLYOD,B ,Q,85.90,87.80,83.60,86.50,86.50,85.05,1245,118096,10159291.00,
500141,FERRO ALLOYS,XD,Q,5.00,5.20,4.80,5.00,5.00,5.02,60,54908,272242.00,
500142,FGP LTD.    ,XD,Q,3.12,3.13,3.12,3.13,3.13,2.99,8,1899,5941.00,
500144,FINOL. CABLE,A ,Q,284.30,296.10,283.50,289.05,289.05,281.60,1100,33104,9597944.00,
500147,CMI FPE     ,XC,Q,430.00,430.00,425.00,427.00,427.00,430.40,9,257,109822.00,
500148,UFLEX LTD   ,B ,Q,184.60,187.70,183.60,186.05,186.05,184.95,637,24083,4477198.00,
500150,FOSECO INDIA,B ,Q,1319.00,1324.00,1294.75,1314.75,1320.00,1289.75,45,364,476692.00,
500151,GOLDEN TOB  ,B ,Q,40.50,41.05,40.00,40.25,40.25,39.50,15,1145,46170.00,
500153,GANESH BENZO,XD,Q,22.60,23.00,21.50,22.00,22.00,22.60,83,24759,548895.00,
500155,GARDEN SILK ,B ,Q,23.50,23.95,23.15,23.30,23.15,23.50,44,5443,127553.00,
500159,METROGLOBL  ,XC,Q,74.90,74.90,68.50,69.80,71.70,68.00,25,2117,149190.00,
500160,GTL LTD.    ,B ,Q,12.01,12.65,12.01,12.49,12.50,12.37,240,47589,595040.00,
500162,PARRYSUGR   ,B ,Q,39.60,41.50,38.50,38.80,38.75,39.55,20,1988,80177.00,
500163,GODFREY PH  ,B ,Q,1204.60,1211.10,1171.00,1176.00,1176.00,1203.00,1216,7799,9242820.00,
500164,GODREJ IND  ,A ,Q,375.80,378.00,369.10,372.00,372.00,376.35,620,14638,5473107.00,
500165,KANSAI NERO ,A ,Q,305.00,315.15,300.25,304.25,304.25,304.20,2312,206011,63492829.00,
500166,GOODRICKE   ,XC,Q,180.00,190.00,180.00,187.20,187.20,179.80,615,68482,12753008.00,
500168,GOODYEAR (I),B ,Q,511.00,515.00,504.20,505.30,505.00,514.10,149,6470,3286589.00,
500170,GTN INDUS   ,B ,Q,10.80,11.29,10.40,10.52,10.40,11.46,22,2225,23916.00,
500171,GHCL LTD    ,B ,Q,130.85,137.50,129.10,136.35,136.35,129.55,2046,157461,21009226.00,
500173,GUJ.FLOURO  ,B ,Q,545.00,557.95,536.95,551.10,551.25,537.35,123,4237,2328686.00,
500174,GUJ.LEASE   ,B ,Q,1.81,1.82,1.81,1.81,1.81,1.90,3,1112,2012.00,
500179,HCL INFOSYS ,B ,Q,46.35,46.65,45.35,46.20,46.20,45.90,1346,436493,20033668.00,
500180,HDFC BANK   ,A ,Q,1088.30,1099.80,1084.35,1096.60,1096.60,1088.30,2323,111226,121336591.00,
500182,HEROMOTOCO  ,A ,Q,3069.00,3079.00,3006.25,3040.70,3046.05,3065.35,3246,265374,807805159.00,
500183,HIMACHAL FUT,B ,Q,18.95,19.40,18.80,18.95,18.95,18.75,1668,1563465,29809463.00,
500184,HIMADRI CHEM,B ,Q,18.60,19.35,18.60,19.25,19.25,18.35,1949,1137352,21553665.00,
500185,HIND.CONSTN.,A ,Q,21.60,22.05,21.30,21.75,21.75,21.45,1968,872154,18928856.00,
500186,HIND.OIL EXP,B ,Q,33.95,34.60,33.70,34.15,34.15,33.40,1757,342956,11730923.00,
500187,HSIL        ,B ,Q,309.85,312.80,307.15,309.55,309.55,309.90,172,5413,1675828.00,
500188,HINDUS.ZI   ,A ,Q,170.00,180.00,169.65,174.65,174.65,168.35,6932,439122,77295670.00,
500189,HINDUJA VENT,B ,Q,447.40,447.40,439.80,440.00,440.00,439.70,29,502,222196.00,
500191,HMT LTD.    ,B ,Q,46.50,48.00,46.00,46.65,46.80,46.20,549,62246,2923951.00,
500192,PRAG BOSIMI ,XT,Q,5.50,5.50,5.50,5.50,5.50,5.50,2,150,825.00,
500193,HOTEL LEELA.,B ,Q,18.70,19.25,18.70,18.90,18.90,19.10,88,23714,450792.00,
500199,I.G.PETRO   ,B ,Q,121.00,133.80,119.70,127.10,127.10,121.40,836,31990,4127518.00,
500201,IND.GLYCOLS ,B ,Q,87.25,89.50,86.60,88.20,88.20,87.30,375,20503,1809735.00,
500206,MARGO FIN   ,XT,Q,14.70,14.80,14.70,14.80,14.80,15.00,5,2728,40111.00,
500207,INDO RAMA   ,B ,Q,29.90,30.10,29.30,29.75,29.75,30.00,150,21846,652280.00,
500209,INFOSYS LTD ,A ,Q,1245.00,1249.95,1225.50,1243.25,1243.25,1238.80,7815,151925,188017376.00,
500210,INGERSOLL   ,B ,Q,680.15,700.00,677.60,682.65,685.00,680.25,384,4974,3431191.00,
500211,INSILCO LTD.,XT,Q,17.30,17.85,17.00,17.70,17.80,17.30,17,4599,79379.00,
500213,INTER.TRAVEL,XC,Q,178.00,180.00,176.20,179.80,180.00,180.40,80,7831,1404184.00,
500214,ION EXCHANGE,XT,Q,321.50,335.00,321.50,332.00,331.00,324.10,138,13538,4482478.00,
500215,AGRO TECH FO,B ,Q,495.00,495.00,472.50,480.20,475.10,494.80,59,994,482925.00,
500219,JAIN IRRIG  ,A ,Q,65.70,66.75,65.05,66.40,66.40,64.65,2395,572630,37722643.00,
500220,JASCH INDUST,XD,Q,45.00,48.70,45.00,46.40,46.50,45.90,64,8113,380949.00,
500222,JCT ELECTRON,B ,Q,0.30,0.31,0.30,0.30,0.30,0.31,19,28925,8800.00,
500223,JCT LTD     ,XC,Q,4.77,4.77,4.38,4.45,4.45,4.69,754,1414015,6413911.00,
500227,JINDAL POLYF,B ,Q,483.60,506.40,483.60,496.55,496.55,483.70,1381,20698,10285329.00,
500228,JSWSL       ,A ,Q,1340.00,1366.80,1338.65,1360.70,1360.70,1332.30,5910,133815,181908762.00,
500231,UMANG DAIR  ,B ,Q,67.00,73.50,67.00,71.05,71.05,65.50,445,22502,1607191.00,
500233,KAJARIA CER.,A ,Q,1046.00,1061.00,1046.00,1057.95,1059.70,1046.00,415,4731,4990053.00,
500234,KAKATIYA CEM,B ,Q,323.00,327.10,315.60,327.10,327.10,311.60,1216,74938,24382048.00,
500235,KALYANI STEL,B ,Q,169.00,179.90,169.00,179.00,179.00,169.00,2692,145019,25666587.00,
500236,KANELIND    ,XT,Q,2.70,2.70,2.70,2.70,2.70,2.58,5,2610,7047.00,
500238,WHIRLPOOL   ,B ,Q,767.90,787.00,756.10,762.45,762.45,764.40,919,8782,6805997.00,
500239,KG DENIM    ,XC,Q,90.00,91.65,87.85,89.10,90.00,91.85,114,16884,1510914.00,
500240,KINETIC ENG.,XD,Q,93.00,95.00,92.00,92.00,92.00,96.80,86,9279,866674.00,
500241,KIRL.BROS.  ,B ,Q,134.50,136.00,134.00,134.20,134.50,134.10,240,19949,2690757.00,
500243,KIRL INDUS  ,B ,Q,615.75,635.25,615.75,632.50,629.00,635.00,22,213,134287.00,
500245,KIRL.FERROUS,XC,Q,59.00,64.00,59.00,63.10,64.00,58.15,892,210940,12928647.00,
500247,KOTAK MAH.BK,A ,Q,685.00,691.70,680.55,685.95,684.00,683.00,2069,46294,31763798.00,
500249,KSB PUMPS   ,B ,Q,620.25,630.00,612.50,625.00,625.00,619.75,41,609,378046.00,
500250,L.G.BALKRISH,B ,Q,493.90,499.50,481.00,487.00,488.50,487.30,69,1041,512840.00,
500251,TRENT LTD.  ,A ,Q,1650.00,1662.80,1616.50,1644.30,1622.00,1667.10,170,5976,9867175.00,
500252,LAKSHMI MACH,A ,Q,3545.20,3650.00,3545.20,3608.20,3650.00,3565.35,133,1568,5615997.00,
500253,LIC HOUS.FIN,A ,Q,489.45,489.45,466.85,468.05,468.05,485.20,9112,315747,149764139.00,
500255,LML LTD.    ,B ,Q,7.70,7.75,7.40,7.51,7.51,7.60,266,82985,625352.00,
500256,LOK.HOUS&CON,XD,Q,4.95,5.15,4.79,4.90,4.90,4.95,82,25262,124325.00,
500257,LUPIN LTD.  ,A ,Q,1576.00,1590.00,1556.50,1572.25,1572.25,1571.10,4783,76018,119447144.00,
500259,LYKA LABS   ,B ,Q,88.90,89.40,86.00,87.10,86.30,88.60,384,29889,2618096.00,
500260,RAMCOCEM    ,A ,Q,463.50,495.00,463.05,469.55,469.55,464.10,3013,1049576,518528611.00,
500264,MAFATLAL IND,XC,Q,280.00,293.00,271.50,284.80,287.00,281.00,112,6292,1766395.00,
500265,MAH.SEAMLESS,B ,Q,206.20,215.20,205.80,211.50,211.50,204.80,969,32866,6979137.00,
500266,MAH.SCOOTER ,B ,Q,1331.00,1331.00,1315.25,1319.50,1315.25,1338.50,39,650,860512.00,
