SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1382.60,1404.95,1351.50,1361.75,1361.75,1381.90,1118,4982,6836118.00,
500003,AEGIS LOGIS ,B ,Q,106.15,112.80,105.25,110.95,110.95,105.10,3404,282747,31361350.00,
500008,AMAR RAJA BA,A ,Q,887.00,906.00,887.00,894.60,896.00,890.75,2699,29990,26968558.00,
500009,A.SARABHAI  ,XD,Q,8.37,8.37,7.55,8.02,8.02,8.15,81,58285,472420.00,
500010,HDFC        ,A ,Q,1085.05,1091.70,1076.10,1089.60,1089.60,1079.65,3388,84489,91769696.00,
500012,ANDHRA PETRO,XC,Q,12.01,13.00,12.01,12.55,12.55,12.44,170,42648,540485.00,
500013,ANSAL INFRAS,B ,Q,19.10,19.25,18.75,18.95,18.85,18.90,69,7642,145729.00,
500014,APPLE FINANC,XD,Q,1.99,1.99,1.83,1.95,1.95,1.85,7,2660,5099.00,
500020,BOM DYEING  ,B ,Q,47.75,49.05,47.50,47.80,47.80,47.55,1069,201114,9712184.00,
500023,ASIANHOTNR  ,B ,Q,110.00,110.00,110.00,110.00,110.00,109.90,1,50,5500.00,
500024,ASSAMCO     ,B ,Q,5.86,5.86,5.60,5.62,5.62,5.76,183,135192,770213.00,
500027,ATUL LTD.   ,A ,Q,1700.00,1719.10,1695.00,1707.75,1707.75,1695.95,175,1451,2473601.00,
500028,ATV PROJECTS,XT,Q,7.40,7.65,7.35,7.54,7.50,7.40,24,17493,130729.00,
500029,AUTOLITE(I) ,B ,Q,45.25,48.00,45.20,46.85,46.60,47.25,21,1857,86719.00,
500031,BAJAJ ELECT.,A ,Q,214.10,219.45,212.30,216.95,216.95,211.85,2719,34325,7437674.00,
500032,BAJAJHIND   ,B ,Q,19.50,19.50,18.95,19.10,19.10,19.55,1063,646739,12399978.00,
