SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1288.95,1318.85,1283.40,1311.90,1311.90,1281.80,1777,9786,12780517.00,
500003,AEGIS LOGIS ,B ,Q,97.10,98.80,94.25,97.10,97.10,96.45,478,17783,1726215.00,
500008,AMAR RAJA BA,A ,Q,893.00,895.45,872.90,875.70,876.50,887.10,1946,14500,12761923.00,
500009,A.SARABHAI  ,XD,Q,7.90,8.19,7.65,7.98,7.95,7.87,77,45931,364119.00,
500010,HDFC        ,A ,Q,1110.00,1110.00,1092.10,1101.10,1101.10,1103.40,5893,273691,300869372.00,
500012,ANDHRA PETRO,XC,Q,11.48,11.89,11.48,11.76,11.60,11.36,68,13095,153640.00,
500013,ANSAL INFRAS,B ,Q,19.25,19.85,19.25,19.55,19.70,19.25,357,69964,1372479.00,
500014,APPLE FINANC,XD,Q,1.89,1.99,1.89,1.93,1.89,1.86,6,360,693.00,
500020,BOM DYEING  ,B ,Q,47.00,49.15,46.75,48.65,48.65,46.85,1696,260221,12480779.00,
500023,ASIANHOTNR  ,B ,Q,112.10,112.10,112.10,112.10,112.10,110.80,1,1,112.00,
500024,ASSAMCO     ,B ,Q,5.84,6.12,5.80,5.96,5.96,5.78,558,506868,3020114.00,
500027,ATUL LTD.   ,A ,Q,1610.00,1649.30,1601.35,1629.00,1629.00,1595.25,482,3508,5722358.00,
500028,ATV PROJECTS,XT,Q,7.70,8.00,7.70,7.72,7.72,8.00,7,1376,10648.00,
500029,AUTOLITE(I) ,B ,Q,48.00,48.40,48.00,48.20,48.20,48.30,11,2100,100830.00,
500031,BAJAJ ELECT.,A ,Q,209.00,216.80,209.00,214.90,214.90,207.85,1990,75376,16144498.00,
500032,BAJAJHIND   ,B ,Q,20.60,21.45,20.55,21.30,21.30,20.20,2674,1441824,30217024.00,
500033,FORCE MOTR  ,B ,Q,3120.00,3239.50,3090.50,3200.00,3200.00,3087.50,20379,306350,972357991.00,
500034,BAJFINANCE  ,A ,Q,6875.00,6990.40,6866.10,6957.20,6979.30,6833.30,705,2853,19777150.00,
500038,BALRAM.CHINI,A ,Q,107.40,112.00,107.20,111.00,111.00,106.45,7020,980655,107795557.00,
500039,BANCO PROD. ,B ,Q,111.90,113.90,111.00,113.30,113.90,111.70,87,8533,961678.00,
500040,CENTURY TEXT,A ,Q,532.45,583.85,527.20,580.10,580.10,530.30,15779,487669,275930864.00,
500041,BANNARI AMAN,B ,Q,1521.25,1535.00,1477.00,1524.00,1535.00,1456.25,55,487,733463.00,
500042,BASF INDIA  ,B ,Q,835.05,842.10,829.95,833.10,833.10,833.80,383,2632,2198754.00,
500043,BATA INDIA  ,A ,Q,514.00,520.75,512.80,514.55,513.00,511.40,1668,28895,14908233.00,
500048,BEML LTD    ,A ,Q,988.00,988.00,934.00,941.80,941.80,973.00,5638,51400,48662999.00,
500049,BHARAT ELECT,A ,Q,1185.55,1196.75,1167.75,1174.90,1171.30,1180.35,1934,13342,15719300.00,
500052,BHANSALI ENG,B ,Q,18.50,19.70,18.25,19.40,19.40,18.50,358,80675,1559232.00,
500055,BHUSH STEEL ,A ,Q,37.00,38.20,36.30,37.20,37.20,37.35,643,55777,2089012.00,
500058,BIHAR SPONGE,XT,Q,2.48,2.48,2.48,2.48,2.48,2.61,12,716,1775.00,
500059,BINANI IND. ,B ,Q,64.00,65.20,62.90,64.75,64.90,62.65,51,3022,193787.00,
500060,BIRLA ERIC. ,T ,Q,35.35,35.65,33.85,34.85,34.95,35.10,44,5486,192631.00,
500067,BLUE STAR   ,B ,Q,394.95,396.75,390.00,394.30,390.95,392.55,191,5299,2081928.00,
500068,DISA INDIA  ,XC,Q,4100.00,4100.00,3862.00,3862.00,3862.00,4009.00,2,2,7962.00,
500074,BPL LTD.    ,B ,Q,27.00,28.05,27.00,27.90,27.90,27.70,65,10270,283949.00,
500078,CAMPH.& ALL ,XC,Q,510.00,616.60,510.00,587.80,587.80,513.90,885,34712,20429975.00,
500083,CENTURY EXT ,B ,Q,2.04,2.07,1.89,1.91,1.91,1.90,20,2906,5724.00,
500084,CESC LTD.   ,A ,Q,474.20,474.75,467.50,471.05,471.05,471.80,458,7805,3674854.00,
500085,CHAMBAL FERT,B ,Q,56.50,57.35,56.40,56.80,56.80,56.40,262,35772,2031098.00,
500086,EXIDE IND.  ,A ,Q,131.50,136.40,130.05,135.30,135.75,134.95,2048,132116,17677483.00,
500087,CIPLA LTD.  ,A ,Q,505.00,507.00,497.50,506.00,506.00,504.00,4922,119744,60112001.00,
500089,DIC INDIA   ,B ,Q,567.00,615.50,567.00,606.25,610.25,569.75,90,1794,1060831.00,
500092,CRISIL LTD  ,A ,Q,1805.00,1834.00,1800.05,1831.75,1834.00,1804.95,67,326,593001.00,
500093,CROMPT.GREAV,A ,Q,49.60,50.60,48.40,50.00,50.00,49.10,2510,774391,38288476.00,
500096,DABUR (I)   ,A ,Q,249.95,249.95,245.00,247.60,247.10,245.60,655,13100,3235185.00,
500097,DALMIASUG   ,B ,Q,107.15,111.05,105.45,109.10,108.00,106.05,1288,77277,8388036.00,
500101,ARVIND Ltd  ,A ,Q,260.00,267.95,257.30,266.80,266.80,260.70,5896,276729,72845889.00,
500102,BALARPUR IND,B ,Q,15.12,15.46,14.80,15.24,15.24,15.19,583,326098,4931230.00,
500103,BHEL        ,A ,Q,114.20,115.70,112.80,114.00,114.00,112.80,6581,885892,101074367.00,
500104,HIND.PETRO  ,A ,Q,802.00,822.00,790.00,817.15,817.15,797.90,5472,139745,112976132.00,
500106,IFCI LTD    ,A ,Q,24.20,24.45,23.65,23.95,23.95,24.15,1161,409503,9855030.00,
500108,MAHA.TELE   ,B ,Q,17.40,17.65,17.30,17.50,17.50,17.40,494,193260,3380681.00,
500109,MRPL        ,A ,Q,66.40,70.00,66.20,68.85,68.85,66.30,1040,109968,7532989.00,
500110,CHENNAI PET.,B ,Q,200.00,206.00,198.35,202.75,202.75,197.45,4551,238039,48151606.00,
500111,REL.CAP.    ,A ,Q,366.00,370.70,361.00,368.30,368.30,365.30,10456,480315,175916556.00,
500112,STATE BANK  ,A ,Q,185.00,185.65,182.50,183.95,183.95,184.50,17536,1778378,327399338.00,
500113,STEEL AUTH. ,A ,Q,42.50,43.95,42.25,43.20,43.20,42.45,1974,745789,32006062.00,
500114,TITAN       ,A ,Q,346.90,349.90,345.50,347.90,347.90,345.75,2474,43044,14990976.00,
500116,IDBI BANK L ,A ,Q,68.60,68.90,66.65,67.45,67.45,68.10,2915,458098,30999064.00,
500117,DCW LTD.    ,B ,Q,24.55,26.05,24.45,25.05,25.05,24.40,1625,386282,9821237.00,
500119,DHAMPUR SUGA,B ,Q,93.30,98.80,93.30,97.70,97.70,92.35,3686,302316,29024298.00,
500120,DIAMINES&CHM,XD,Q,33.00,36.80,32.55,36.75,36.80,35.80,26,2032,72833.00,
500123,ELANTAS     ,B ,Q,1295.75,1296.00,1265.00,1272.50,1278.00,1272.50,80,721,919154.00,
500124,DR.REDDY'S  ,A ,Q,3060.00,3060.00,2974.85,2999.95,2999.95,2996.00,2677,21257,63804840.00,
500125,E.I.D.PAR   ,A ,Q,212.00,225.00,212.00,222.55,222.55,211.20,4248,283867,62580370.00,
500126,MERCK LTD   ,B ,Q,649.50,649.50,643.00,645.50,646.00,650.00,55,2325,1501421.00,
500128,ELEC.CASTING,B ,Q,18.65,19.10,18.60,18.90,19.05,18.65,134,41974,791424.00,
500132,EMPEE SUGARS,XD,Q,7.32,7.94,7.20,7.66,7.66,7.49,93,45336,341124.00,
500133,ESAB INDIA  ,B ,Q,581.00,595.50,565.00,575.00,573.00,585.50,26,152,87153.00,
500135,ESSEL PROP  ,B ,Q,166.55,169.00,166.55,168.60,169.00,166.85,94,5741,965277.00,
500136,ESTER INDUS.,B ,Q,55.55,57.35,54.10,56.40,56.25,55.15,1142,55931,3123617.00,
500139,FEDDER.LLYOD,B ,Q,73.35,73.35,72.00,72.50,72.70,72.55,287,21150,1532124.00,
500141,FERRO ALLOYS,XD,Q,4.69,4.80,4.65,4.80,4.80,4.64,35,14923,70788.00,
500142,FGP LTD.    ,XD,Q,2.27,2.49,2.27,2.49,2.49,2.38,8,2848,6668.00,
500143,P.H.CAPITAL ,XD,Q,25.95,25.95,25.95,25.95,25.95,24.95,2,20,519.00,
500144,FINOL. CABLE,A ,Q,284.00,287.05,280.20,284.00,284.00,285.75,144,4415,1251975.00,
