SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1149.65,1163.80,1113.85,1130.75,1130.75,1148.10,3855,33041,37434707.00,
500003,AEGIS LOGIS ,B ,Q,94.15,95.85,93.15,95.15,95.55,94.00,247,17637,1665256.00,
500008,AMAR RAJA BA,A ,Q,851.00,884.85,850.00,881.35,881.35,853.40,1794,21186,18513163.00,
500009,A.SARABHAI  ,XD,Q,6.20,6.30,5.70,5.80,5.80,6.26,49,17143,102404.00,
500010,HDFC        ,A ,Q,1162.00,1187.35,1162.00,1183.70,1187.15,1170.00,1728,58641,69371864.00,
500012,ANDHRA PETRO,XC,Q,13.05,13.39,13.05,13.20,13.25,13.12,70,62743,827489.00,
500013,ANSAL INFRAS,B ,Q,17.65,17.65,17.10,17.35,17.35,17.05,209,25757,446758.00,
500014,APPLE FINANC,XD,Q,2.20,2.49,2.16,2.30,2.30,2.33,42,37608,89579.00,
500020,BOM DYEING  ,B ,Q,48.35,49.30,48.05,48.90,48.90,47.75,689,108658,5305436.00,
500023,ASIANHOTNR  ,B ,Q,111.00,111.00,105.10,109.80,105.20,110.00,8,133,14650.00,
500024,ASSAMCO     ,B ,Q,5.15,5.25,5.00,5.04,5.04,5.05,257,229184,1161106.00,
500027,ATUL LTD.   ,A ,Q,1475.00,1495.00,1450.10,1466.00,1466.00,1477.55,198,1522,2256013.00,
500028,ATV PROJECTS,XT,Q,8.54,8.54,8.00,8.01,8.01,8.20,23,17748,147970.00,
500029,AUTOLITE(I) ,B ,Q,54.30,54.30,51.55,53.20,53.20,52.95,65,4223,224044.00,
500030,AUTORID.FIN ,B ,Q,0.98,0.98,0.98,0.98,0.98,0.94,1,1,0.00,
500031,BAJAJ ELECT.,A ,Q,174.00,180.10,174.00,178.45,179.90,174.60,381,23747,4209866.00,
500032,BAJAJHIND   ,B ,Q,16.10,16.55,15.85,16.35,16.35,15.90,977,709904,11550800.00,
500033,FORCE MOTR  ,B ,Q,2505.00,2724.50,2505.00,2699.50,2699.50,2525.00,11860,143471,376702947.00,
500034,BAJFINANCE  ,A ,Q,6370.90,6743.95,6370.90,6705.80,6705.80,6343.45,4794,26643,177148231.00,
500038,BALRAM.CHINI,A ,Q,82.55,87.40,82.55,86.90,86.90,82.55,2309,214632,18428788.00,
500039,BANCO PROD. ,B ,Q,119.00,119.00,110.00,113.80,113.80,117.50,343,12324,1425240.00,
500040,CENTURY TEXT,A ,Q,478.00,489.80,474.00,487.65,487.65,479.10,2798,96786,46848129.00,
500042,BASF INDIA  ,B ,Q,740.65,754.90,735.00,739.55,739.55,741.00,650,5708,4239623.00,
500043,BATA INDIA  ,A ,Q,470.00,490.00,461.10,481.25,481.25,463.95,2111,47792,22562703.00,
500048,BEML LTD    ,A ,Q,999.00,1039.50,987.00,1031.00,1031.00,995.45,1529,19661,19938372.00,
500049,BHARAT ELECT,A ,Q,1226.00,1244.00,1215.00,1233.70,1233.70,1223.30,1314,43289,53277782.00,
500052,BHANSALI ENG,B ,Q,19.00,19.75,18.60,19.50,19.50,19.20,389,86794,1664021.00,
500055,BHUSH STEEL ,A ,Q,35.55,37.75,35.55,36.40,36.40,36.00,1089,112806,4153456.00,
500058,BIHAR SPONGE,XT,Q,3.00,3.00,2.76,2.98,2.98,2.90,11,5139,14932.00,
500059,BINANI IND. ,B ,Q,59.25,60.80,59.20,60.70,60.70,59.55,45,3966,239612.00,
500060,BIRLA ERIC. ,T ,Q,45.00,46.45,44.05,45.90,44.05,45.15,18,3385,155544.00,
500067,BLUE STAR   ,B ,Q,351.00,357.45,349.50,354.70,357.45,353.25,46,309,109099.00,
500068,DISA INDIA  ,XC,Q,4517.00,4517.00,4350.00,4366.50,4366.50,4259.50,24,156,694728.00,
500074,BPL LTD.    ,B ,Q,30.20,30.40,29.30,30.20,30.20,30.10,291,43283,1293369.00,
500078,CAMPH.& ALL ,XC,Q,479.00,484.90,470.00,471.20,470.00,483.30,90,1654,783720.00,
500083,CENTURY EXT ,B ,Q,1.90,2.10,1.90,2.10,2.10,2.00,28,10099,20739.00,
500084,CESC LTD.   ,A ,Q,440.00,451.15,436.00,449.95,449.95,435.15,2067,33384,14890241.00,
500085,CHAMBAL FERT,B ,Q,57.30,57.40,56.65,57.10,57.10,56.60,100,11005,627292.00,
500086,EXIDE IND.  ,A ,Q,122.90,125.35,122.35,124.90,124.90,121.70,1060,134684,16659927.00,
500087,CIPLA LTD.  ,A ,Q,555.00,574.60,544.90,569.95,569.95,550.25,3550,105454,59177489.00,
500089,DIC INDIA   ,B ,Q,708.75,719.50,684.75,714.75,714.75,691.25,186,4150,2947531.00,
500092,CRISIL LTD  ,A ,Q,1840.00,1875.00,1840.00,1854.20,1854.20,1849.00,290,1348,2495302.00,
500093,CROMPT.GREAV,A ,Q,135.20,136.00,119.65,126.90,126.90,134.05,25222,2534838,317465897.00,
500096,DABUR (I)   ,A ,Q,247.25,251.70,246.20,250.65,249.35,247.20,1183,33849,8456118.00,
500097,DALMIASUG   ,B ,Q,73.00,76.05,71.50,72.50,72.50,71.60,347,23784,1756215.00,
500101,ARVIND Ltd  ,A ,Q,286.05,289.40,278.10,284.80,284.80,288.45,5106,249083,70597810.00,
500102,BALARPUR IND,B ,Q,15.50,16.05,15.40,15.70,15.65,15.45,297,214965,3386191.00,
500103,BHEL        ,A ,Q,129.95,133.40,128.60,132.80,132.80,129.55,3796,379470,49929528.00,
500104,HIND.PETRO  ,A ,Q,740.00,759.60,732.30,748.20,748.20,733.65,3185,80491,60075775.00,
500106,IFCI LTD    ,A ,Q,23.00,23.50,22.65,23.30,23.30,22.75,1196,673004,15531158.00,
500108,MAHA.TELE   ,B ,Q,17.90,18.05,17.50,17.90,18.05,17.75,583,275173,4906354.00,
500109,MRPL        ,A ,Q,60.55,63.85,59.70,62.65,62.65,60.25,759,66344,4137569.00,
500110,CHENNAI PET.,B ,Q,175.00,177.00,169.50,170.45,170.45,174.30,1754,67834,11666435.00,
500111,REL.CAP.    ,A ,Q,334.90,354.00,329.30,351.55,351.55,331.35,13370,666367,228893560.00,
500112,STATE BANK  ,A ,Q,164.00,169.25,162.35,168.20,168.20,163.05,19875,2475508,411249899.00,
500113,STEEL AUTH. ,A ,Q,38.55,41.15,38.45,40.85,40.85,38.50,3711,1015400,40804607.00,
500114,TITAN       ,A ,Q,362.05,371.40,361.15,369.35,369.35,360.75,3319,70242,25709915.00,
500116,IDBI BANK L ,A ,Q,56.20,57.65,55.40,57.00,57.00,55.75,3425,693302,39129795.00,
500117,DCW LTD.    ,B ,Q,23.50,23.90,22.85,23.45,23.45,23.50,881,219797,5133887.00,
500119,DHAMPUR SUGA,B ,Q,62.00,65.00,62.00,64.55,64.55,61.55,388,46825,2995053.00,
500120,DIAMINES&CHM,XD,Q,35.15,39.90,35.00,37.70,38.80,36.15,19,5209,194436.00,
500123,ELANTAS     ,B ,Q,1251.25,1267.00,1232.00,1250.75,1250.00,1253.75,46,793,991473.00,
500124,DR.REDDY'S  ,A ,Q,3020.00,3123.30,2996.40,3109.05,3109.05,3007.35,3939,35084,107180351.00,
500125,E.I.D.PAR   ,A ,Q,166.50,173.00,166.50,170.40,171.10,167.45,528,25276,4322805.00,
500126,MERCK LTD   ,B ,Q,690.00,705.00,687.75,701.75,701.75,689.50,170,2218,1548676.00,
500128,ELEC.CASTING,B ,Q,19.70,20.00,19.50,19.75,19.95,19.50,410,91279,1807739.00,
500132,EMPEE SUGARS,XD,Q,5.20,5.60,4.97,5.60,5.60,5.52,29,29642,152517.00,
500133,ESAB INDIA  ,B ,Q,522.00,526.00,517.00,526.00,526.00,541.00,15,79,41100.00,
500134,ESSAR OIL   ,A ,Q,260.20,260.70,260.20,260.60,260.60,260.40,179,33255,8663302.00,
500135,ESSEL PROP  ,B ,Q,158.90,159.90,153.00,156.95,155.40,157.00,347,10574,1652658.00,
500136,ESTER INDUS.,B ,Q,56.50,61.00,54.10,58.60,59.50,56.35,922,45573,2670264.00,
500139,FEDDER.LLYOD,B ,Q,80.30,81.15,77.80,78.90,78.90,80.20,1004,61992,4917270.00,
500141,FERRO ALLOYS,XD,Q,5.78,5.78,5.55,5.61,5.55,5.77,34,11859,66574.00,
500142,FGP LTD.    ,XD,Q,4.59,4.59,4.37,4.44,4.44,4.59,8,22500,102980.00,
500143,P.H.CAPITAL ,XD,Q,19.50,19.50,19.50,19.50,19.50,18.60,1,10,195.00,
500144,FINOL. CABLE,A ,Q,228.05,230.00,225.20,226.25,225.20,229.35,53,1654,376217.00,
500147,CMI FPE     ,XC,Q,415.00,415.00,386.00,391.20,391.20,392.00,56,1357,535658.00,
500148,UFLEX LTD   ,B ,Q,160.95,162.00,157.50,160.85,161.80,158.45,1247,60208,9596102.00,
500150,FOSECO INDIA,B ,Q,1280.25,1300.00,1264.00,1283.00,1280.50,1290.00,29,177,227215.00,
500151,GOLDEN TOB  ,B ,Q,41.10,42.10,40.05,40.70,41.00,40.65,52,2058,83745.00,
500153,GANESH BENZO,XD,Q,20.00,21.00,19.30,19.90,19.90,21.20,134,56779,1136457.00,
500155,GARDEN SILK ,B ,Q,23.65,25.25,23.65,24.25,24.25,23.50,72,6169,151673.00,
500159,METROGLOBL  ,XC,Q,67.50,70.70,66.25,69.30,70.65,66.00,30,3047,206306.00,
500160,GTL LTD.    ,B ,Q,12.17,12.70,12.17,12.53,12.53,12.17,273,40811,512064.00,
500162,PARRYSUGR   ,B ,Q,26.00,26.00,25.90,25.90,25.90,28.75,9,1250,32420.00,
500163,GODFREY PH  ,B ,Q,1149.00,1177.00,1133.45,1162.55,1162.55,1137.20,1623,22075,25569762.00,
500164,GODREJ IND  ,A ,Q,345.20,353.85,343.00,350.55,350.55,345.00,1123,72253,24967634.00,
500165,KANSAI NERO ,A ,Q,274.40,274.40,268.25,271.35,271.35,268.90,557,10108,2747459.00,
500166,GOODRICKE   ,XC,Q,177.20,182.50,177.00,181.40,181.40,178.30,100,9489,1707766.00,
500168,GOODYEAR (I),B ,Q,484.90,509.00,480.00,497.20,497.20,480.90,684,24291,12095907.00,
500171,GHCL LTD    ,B ,Q,111.95,114.25,111.00,113.00,113.00,110.70,376,23471,2635217.00,
500173,GUJ.FLOURO  ,B ,Q,465.00,474.90,460.15,463.00,465.00,468.70,225,2314,1079124.00,
500174,GUJ.LEASE   ,B ,Q,2.77,2.77,2.77,2.77,2.77,2.73,1,10,27.00,
500179,HCL INFOSYS ,B ,Q,37.85,38.50,36.25,37.70,37.70,37.40,3152,903689,33849582.00,
500180,HDFC BANK   ,A ,Q,1051.00,1063.00,1049.05,1056.40,1056.40,1050.30,1477,41466,43813958.00,
500182,HEROMOTOCO  ,A ,Q,2509.00,2590.00,2509.00,2578.05,2578.05,2510.50,2728,53824,137212625.00,
500183,HIMACHAL FUT,B ,Q,18.30,19.35,17.65,19.00,19.00,18.10,2872,2228914,41279472.00,
500184,HIMADRI CHEM,B ,Q,16.60,17.30,16.20,17.14,17.14,16.49,2395,868219,14654479.00,
500185,HIND.CONSTN.,A ,Q,20.00,20.55,19.55,20.45,20.45,19.95,2092,532931,10726272.00,
500186,HIND.OIL EXP,B ,Q,30.20,30.65,29.85,30.45,30.45,30.05,387,51691,1562893.00,
500187,HSIL        ,B ,Q,266.50,270.00,264.25,266.60,266.60,267.25,112,3225,859794.00,
500188,HINDUS.ZI   ,A ,Q,162.05,169.70,162.05,168.25,168.25,161.35,2032,109536,18229538.00,
500189,HINDUJA VENT,B ,Q,395.00,397.00,387.80,396.00,397.00,395.00,35,503,197739.00,
500191,HMT LTD.    ,B ,Q,43.70,44.95,43.10,44.55,44.55,43.65,261,22175,982664.00,
