SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1114.00,1131.70,1093.00,1100.50,1100.50,1106.15,2457,14468,16057261.00,
500003,AEGIS LOGIS ,B ,Q,93.20,93.25,87.85,88.40,88.20,91.70,227,11282,1018237.00,
500008,AMAR RAJA BA,A ,Q,877.40,888.00,836.30,842.45,842.45,873.95,1558,15334,13039811.00,
500009,A.SARABHAI  ,XD,Q,4.58,4.99,4.58,4.73,4.66,4.58,50,32460,157456.00,
500010,HDFC        ,A ,Q,1085.00,1087.00,1064.15,1077.10,1078.00,1081.10,2553,75129,80850973.00,
500012,ANDHRA PETRO,XC,Q,11.25,11.58,10.75,10.81,10.76,11.33,171,149629,1629757.00,
500013,ANSAL INFRAS,B ,Q,16.30,16.85,15.75,15.85,15.75,16.40,212,23580,384011.00,
500014,APPLE FINANC,XD,Q,2.54,2.55,2.25,2.28,2.28,2.43,19,4384,10172.00,
500020,BOM DYEING  ,B ,Q,42.95,43.00,40.60,40.75,40.75,42.45,1189,169254,7018492.00,
500024,ASSAMCO     ,B ,Q,5.16,5.38,4.90,4.93,4.97,4.97,394,423573,2161002.00,
500027,ATUL LTD.   ,A ,Q,1422.00,1422.00,1301.00,1328.05,1328.05,1395.40,201,1484,2007887.00,
500028,ATV PROJECTS,XT,Q,9.40,9.90,9.10,9.57,9.57,9.57,33,8855,83644.00,
500029,AUTOLITE(I) ,B ,Q,46.25,47.25,43.30,44.75,43.30,46.40,46,5445,252063.00,
500030,AUTORID.FIN ,T ,Q,1.17,1.17,1.17,1.17,1.17,1.12,1,1,1.00,
500031,BAJAJ ELECT.,A ,Q,174.40,174.40,167.20,168.55,168.55,172.40,408,18293,3123091.00,
500032,BAJAJHIND   ,B ,Q,15.00,15.10,14.15,14.25,14.25,14.75,652,239712,3461781.00,
500033,FORCE MOTR  ,B ,Q,2489.00,2518.00,2340.00,2348.50,2348.50,2448.50,6922,79466,192519659.00,
500034,BAJFINANCE  ,A ,Q,6229.85,6229.85,5962.00,5990.05,5971.00,6276.75,1960,7270,43743496.00,
500038,BALRAM.CHINI,A ,Q,81.20,81.60,76.25,76.80,76.80,80.25,1133,150418,11875238.00,
500039,BANCO PROD. ,B ,Q,106.50,106.50,98.70,100.00,100.30,104.10,283,10000,1015755.00,
500040,CENTURY TEXT,A ,Q,451.25,454.20,432.50,435.65,435.65,450.55,3993,130145,57445217.00,
500041,BANNARI AMAN,B ,Q,1100.00,1115.00,1060.00,1075.25,1115.00,1119.50,30,107,116920.00,
500042,BASF INDIA  ,B ,Q,745.00,745.00,712.25,724.35,725.00,745.40,380,1714,1245323.00,
500043,BATA INDIA  ,A ,Q,482.80,496.70,462.25,468.15,468.15,480.80,1334,21972,10644857.00,
500048,BEML LTD    ,A ,Q,1010.00,1010.00,950.80,959.00,959.00,982.75,3394,47736,46827708.00,
500049,BHARAT ELECT,A ,Q,1172.90,1184.00,1108.10,1118.30,1118.30,1161.30,2633,27976,31824507.00,
500052,BHANSALI ENG,B ,Q,16.90,17.40,16.60,16.70,16.70,16.70,112,52604,877949.00,
500055,BHUSH STEEL ,A ,Q,36.25,36.25,33.80,34.05,34.15,35.35,483,71614,2477856.00,
500058,BIHAR SPONGE,XT,Q,2.88,2.88,2.62,2.88,2.88,2.75,15,645,1701.00,
500059,BINANI IND. ,B ,Q,56.65,56.65,52.10,53.45,53.15,55.30,96,3954,213244.00,
500060,BIRLA ERIC. ,T ,Q,36.00,37.50,34.65,34.70,34.65,36.45,95,30050,1068256.00,
500067,BLUE STAR   ,B ,Q,336.80,343.80,329.00,333.00,335.30,334.45,157,4700,1578661.00,
500068,DISA INDIA  ,XC,Q,4100.50,4100.50,4001.00,4097.00,4001.00,4100.00,19,69,282816.00,
500074,BPL LTD.    ,B ,Q,26.65,26.90,24.40,24.55,24.55,26.65,225,37738,961764.00,
500078,CAMPH.& ALL ,XC,Q,481.00,481.00,441.90,452.30,453.80,481.70,122,2921,1360567.00,
500083,CENTURY EXT ,B ,Q,1.99,2.08,1.95,2.04,2.04,2.02,12,9025,17985.00,
500084,CESC LTD.   ,A ,Q,432.00,437.80,422.05,423.70,424.00,431.80,958,15333,6588238.00,
500085,CHAMBAL FERT,B ,Q,53.75,54.25,53.05,53.35,53.35,53.75,125,20121,1077939.00,
500086,EXIDE IND.  ,A ,Q,129.80,131.80,125.50,126.35,126.35,128.90,1077,133726,17186676.00,
500087,CIPLA LTD.  ,A ,Q,549.00,550.00,520.60,524.05,524.05,540.20,8668,396078,211146780.00,
500089,DIC INDIA   ,B ,Q,550.00,550.00,517.00,520.25,520.00,552.00,37,782,411507.00,
500092,CRISIL LTD  ,A ,Q,1825.00,1830.00,1795.00,1801.55,1801.85,1811.00,80,414,749347.00,
500093,CROMPT.GREAV,A ,Q,127.00,127.00,122.30,123.55,123.55,126.00,2506,364094,45149419.00,
500096,DABUR (I)   ,A ,Q,245.15,252.40,243.00,244.50,244.40,248.00,1578,37554,9337587.00,
500097,DALMIASUG   ,B ,Q,67.00,67.95,59.00,62.75,62.50,66.45,173,4008,255269.00,
500101,ARVIND Ltd  ,A ,Q,288.50,289.05,273.95,276.10,276.10,286.35,3021,167900,47372366.00,
500102,BALARPUR IND,B ,Q,13.60,13.70,13.25,13.30,13.30,13.50,287,188546,2542461.00,
500103,BHEL        ,A ,Q,109.95,110.50,101.70,103.25,103.25,107.95,9907,1458898,154663525.00,
500104,HIND.PETRO  ,A ,Q,732.80,732.85,684.00,691.90,691.90,728.35,6509,104578,73312291.00,
500106,IFCI LTD    ,A ,Q,22.50,22.60,21.45,21.60,21.60,22.25,1224,926209,20319007.00,
500108,MAHA.TELE   ,B ,Q,17.10,17.70,16.40,16.55,16.55,17.00,1509,516692,8768835.00,
500109,MRPL        ,A ,Q,62.50,62.50,58.50,58.80,58.50,60.75,643,75070,4508213.00,
500110,CHENNAI PET.,B ,Q,165.00,165.00,156.50,157.70,157.70,164.20,2299,83565,13224165.00,
500111,REL.CAP.    ,A ,Q,344.00,346.05,324.00,325.90,325.90,340.55,10985,521798,174485237.00,
500112,STATE BANK  ,A ,Q,170.80,171.00,155.90,156.40,156.40,167.25,36571,5059940,819825539.00,
500113,STEEL AUTH. ,A ,Q,36.50,36.70,35.05,35.35,35.35,35.90,2267,518965,18634001.00,
500114,TITAN       ,A ,Q,360.00,362.25,347.75,349.15,348.20,358.90,1619,26010,9179709.00,
500116,IDBI BANK L ,A ,Q,54.85,54.85,52.00,52.25,52.25,53.75,3548,642019,34250554.00,
500117,DCW LTD.    ,B ,Q,21.80,21.80,20.20,20.30,20.50,21.50,468,122598,2547005.00,
500119,DHAMPUR SUGA,B ,Q,58.90,58.95,53.00,54.00,54.00,58.05,478,51567,2868727.00,
500120,DIAMINES&CHM,XD,Q,37.30,37.30,32.35,34.10,34.10,34.00,26,1700,60302.00,
500123,ELANTAS     ,B ,Q,1265.00,1271.75,1226.00,1254.25,1255.00,1261.25,337,3478,4384154.00,
500124,DR.REDDY'S  ,A ,Q,2884.00,2924.70,2847.00,2860.35,2860.35,2855.90,4033,37623,108238053.00,
500125,E.I.D.PAR   ,A ,Q,172.00,176.35,167.65,168.70,168.70,171.55,1143,69799,12000491.00,
500126,MERCK LTD   ,B ,Q,650.00,650.00,629.75,632.75,633.75,646.25,396,6529,4178055.00,
500128,ELEC.CASTING,B ,Q,19.45,19.45,18.00,18.10,18.00,19.15,286,52755,973847.00,
500132,EMPEE SUGARS,XD,Q,5.12,5.22,4.60,5.04,5.04,4.80,25,5923,29599.00,
500133,ESAB INDIA  ,B ,Q,485.00,485.00,452.50,453.75,453.75,482.00,21,248,114650.00,
500135,ESSEL PROP  ,B ,Q,148.00,148.00,141.00,142.20,141.50,145.65,91,3313,479282.00,
500136,ESTER INDUS.,B ,Q,46.40,47.10,44.30,44.80,44.80,45.75,329,34665,1577831.00,
