SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1084.15,1148.00,1056.00,1138.60,1138.60,1075.00,3580,28395,31501395.00,
500003,AEGIS LOGIS ,B ,Q,102.00,102.00,96.15,99.90,99.90,102.05,859,55291,5474982.00,
500008,AMAR RAJA BA,A ,Q,874.70,880.00,862.00,865.15,865.15,869.65,820,10426,9053172.00,
500009,A.SARABHAI  ,XD,Q,5.52,6.65,5.52,6.45,6.45,5.87,66,40250,255302.00,
500010,HDFC        ,A ,Q,1123.55,1136.00,1105.00,1128.50,1128.50,1123.60,3125,67632,75779418.00,
500012,ANDHRA PETRO,XC,Q,12.70,13.00,12.60,12.77,12.66,12.40,87,33456,429977.00,
500013,ANSAL INFRAS,B ,Q,17.10,18.35,17.10,17.80,17.80,17.35,477,48630,869610.00,
500014,APPLE FINANC,XD,Q,2.33,2.33,2.19,2.30,2.30,2.19,6,177,403.00,
500020,BOM DYEING  ,B ,Q,44.00,45.45,43.80,44.45,44.45,44.45,1182,188670,8428332.00,
500023,ASIANHOTNR  ,B ,Q,112.40,115.00,105.00,105.00,105.00,114.50,21,22,2400.00,
500024,ASSAMCO     ,B ,Q,4.91,5.42,4.90,5.11,5.11,5.00,582,503983,2621869.00,
500027,ATUL LTD.   ,A ,Q,1436.45,1436.45,1410.00,1424.15,1422.00,1426.90,121,683,970212.00,
500028,ATV PROJECTS,XT,Q,8.89,8.94,8.12,8.16,8.16,8.53,23,10014,84341.00,
500029,AUTOLITE(I) ,B ,Q,45.50,46.50,45.50,46.50,46.50,45.30,5,535,24353.00,
500031,BAJAJ ELECT.,A ,Q,174.15,178.65,171.65,173.55,178.00,173.50,397,522811,90717853.00,
500032,BAJAJHIND   ,B ,Q,15.34,16.58,15.15,16.35,16.35,15.23,3556,1601897,25938280.00,
500033,FORCE MOTR  ,B ,Q,2555.00,2648.00,2506.00,2628.00,2628.00,2559.00,9108,130569,338998573.00,
500034,BAJFINANCE  ,A ,Q,6249.00,6389.25,6151.95,6320.50,6310.00,6203.35,1133,3990,25169249.00,
500038,BALRAM.CHINI,A ,Q,85.60,93.90,84.60,92.75,92.75,85.70,7237,864601,78546756.00,
500039,BANCO PROD. ,B ,Q,102.80,102.80,98.20,99.25,99.25,102.05,277,14359,1441197.00,
500040,CENTURY TEXT,A ,Q,471.05,474.20,459.30,466.75,466.75,469.45,3168,100900,47084881.00,
500041,BANNARI AMAN,B ,Q,1120.00,1195.00,1120.00,1159.00,1159.00,1120.00,97,517,600048.00,
500042,BASF INDIA  ,B ,Q,787.00,795.90,782.55,789.95,789.95,798.35,144,784,618306.00,
500043,BATA INDIA  ,A ,Q,495.00,504.55,487.85,490.85,488.80,492.65,2296,37581,18666196.00,
500048,BEML LTD    ,A ,Q,1048.00,1062.45,1015.00,1050.90,1050.90,1044.45,2339,22272,23041574.00,
500049,BHARAT ELECT,A ,Q,1085.00,1108.35,1065.30,1100.50,1100.50,1076.30,3648,47197,51652094.00,
500051,BHAG GAS    ,Z ,Q,1.00,1.08,1.00,1.08,1.08,1.03,2,1025,1027.00,
500052,BHANSALI ENG,B ,Q,17.50,19.90,17.50,18.80,18.80,17.75,1155,151181,2875862.00,
