SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1305.00,1325.00,1297.50,1305.75,1308.00,1291.25,1065,5858,7679536.00,
500003,AEGIS LOGIS ,B ,Q,99.95,100.95,97.50,98.70,99.20,99.10,297,21545,2132879.00,
500008,AMAR RAJA BA,A ,Q,895.00,910.00,887.00,903.50,903.50,888.20,896,10363,9321577.00,
500009,A.SARABHAI  ,XD,Q,6.64,7.00,6.64,6.85,6.77,6.78,51,24619,170165.00,
500010,HDFC        ,A ,Q,1116.00,1121.80,1098.00,1104.15,1104.15,1111.55,5693,209941,231480474.00,
500012,ANDHRA PETRO,XC,Q,11.40,11.84,11.30,11.70,11.74,11.47,99,37738,437166.00,
500013,ANSAL INFRAS,B ,Q,18.50,20.40,18.50,19.95,19.95,18.35,542,81768,1592972.00,
500014,APPLE FINANC,XD,Q,1.84,1.99,1.84,1.90,1.90,1.84,5,465,868.00,
500020,BOM DYEING  ,B ,Q,49.20,49.95,48.35,48.65,48.65,48.60,1739,321855,15802550.00,
500023,ASIANHOTNR  ,B ,Q,117.90,119.00,110.10,115.00,115.00,109.70,12,607,69531.00,
500024,ASSAMCO     ,B ,Q,5.68,6.13,5.68,5.74,5.78,5.68,576,439032,2570022.00,
500027,ATUL LTD.   ,A ,Q,1518.00,1550.00,1496.70,1540.75,1550.00,1523.35,71,364,553117.00,
500028,ATV PROJECTS,XT,Q,7.90,7.90,7.63,7.76,7.75,7.97,20,14303,111381.00,
500029,AUTOLITE(I) ,B ,Q,47.05,47.15,46.80,47.00,47.00,47.40,8,700,32904.00,
500031,BAJAJ ELECT.,A ,Q,199.00,208.40,195.50,207.05,207.05,198.50,2267,90760,18666624.00,
500032,BAJAJHIND   ,B ,Q,20.60,21.35,20.40,20.60,20.60,20.50,2779,1581361,32833370.00,
500033,FORCE MOTR  ,B ,Q,2956.00,3034.00,2915.00,3014.50,3014.50,2937.00,10039,151667,453435770.00,
500034,BAJFINANCE  ,A ,Q,6884.60,6959.95,6840.00,6864.90,6840.00,6877.05,576,2052,14134394.00,
500038,BALRAM.CHINI,A ,Q,109.90,112.05,107.30,107.60,107.60,108.90,7408,689800,75170510.00,
500039,BANCO PROD. ,B ,Q,116.20,116.20,114.00,114.60,114.90,114.80,108,8895,1020401.00,
500040,CENTURY TEXT,A ,Q,542.05,547.55,536.00,541.50,541.50,540.20,2356,59984,32468279.00,
500041,BANNARI AMAN,B ,Q,1530.00,1570.00,1505.00,1509.00,1505.00,1504.75,147,856,1312856.00,
500042,BASF INDIA  ,B ,Q,863.90,869.20,840.00,849.80,840.00,861.90,527,12671,10775726.00,
500043,BATA INDIA  ,A ,Q,509.90,524.95,502.95,522.65,522.65,504.55,6406,105049,54252059.00,
500048,BEML LTD    ,A ,Q,1026.75,1041.00,1012.00,1015.90,1015.90,1028.35,1874,15938,16304394.00,
500049,BHARAT ELECT,A ,Q,1205.00,1216.95,1202.25,1205.55,1206.00,1197.75,1200,15497,18715564.00,
