SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1272.00,1312.00,1264.00,1291.25,1291.25,1276.50,2469,14976,19433236.00,
500003,AEGIS LOGIS ,B ,Q,97.00,100.20,97.00,99.10,99.30,97.30,495,31704,3151327.00,
500008,AMAR RAJA BA,A ,Q,883.00,893.60,881.85,888.20,885.20,879.55,946,8152,7241537.00,
500009,A.SARABHAI  ,XD,Q,6.00,6.90,6.00,6.78,6.83,6.66,35,10521,70191.00,
500010,HDFC        ,A ,Q,1104.00,1117.00,1093.30,1111.55,1111.55,1105.55,12009,404846,445900909.00,
500012,ANDHRA PETRO,XC,Q,10.95,11.50,10.85,11.47,11.35,11.05,112,35925,401820.00,
500013,ANSAL INFRAS,B ,Q,17.60,18.50,17.50,18.35,18.40,17.60,118,25602,462068.00,
500014,APPLE FINANC,XD,Q,1.75,1.99,1.75,1.84,1.96,1.82,17,12890,25275.00,
500020,BOM DYEING  ,B ,Q,47.35,49.05,47.05,48.60,48.60,47.55,1106,205333,9916600.00,
500024,ASSAMCO     ,B ,Q,5.05,5.80,5.04,5.68,5.68,5.06,728,578522,3180506.00,
500027,ATUL LTD.   ,A ,Q,1516.15,1545.00,1510.00,1523.35,1519.10,1540.85,155,779,1191500.00,
500028,ATV PROJECTS,XT,Q,8.00,8.00,7.65,7.97,7.98,8.02,12,1986,15711.00,
500029,AUTOLITE(I) ,B ,Q,45.80,51.00,45.80,47.40,48.00,45.70,72,3140,152434.00,
500031,BAJAJ ELECT.,A ,Q,190.00,199.75,186.05,198.50,198.50,190.35,956,51474,10097432.00,
500032,BAJAJHIND   ,B ,Q,20.00,20.70,19.95,20.50,20.50,20.04,2553,1485121,30355504.00,
500033,FORCE MOTR  ,B ,Q,2849.50,2956.00,2820.00,2937.00,2937.00,2855.00,8029,124658,362401118.00,
500034,BAJFINANCE  ,A ,Q,7000.00,7025.00,6803.40,6877.05,6927.00,6929.20,1184,5606,38813608.00,
500038,BALRAM.CHINI,A ,Q,107.90,112.30,107.90,108.90,108.90,107.65,7870,926538,101725126.00,
500039,BANCO PROD. ,B ,Q,111.60,116.00,110.20,114.80,114.80,111.30,290,17768,2017857.00,
500040,CENTURY TEXT,A ,Q,530.00,549.15,528.05,540.20,540.20,528.70,3861,101140,54750349.00,
500041,BANNARI AMAN,B ,Q,1437.75,1529.00,1420.00,1504.75,1504.75,1442.00,276,2476,3672896.00,
500042,BASF INDIA  ,B ,Q,878.45,878.90,859.45,861.90,862.00,872.65,384,2778,2407610.00,
500043,BATA INDIA  ,A ,Q,505.15,515.00,501.25,504.55,503.00,507.05,1194,19822,10075906.00,
500048,BEML LTD    ,A ,Q,1038.00,1048.00,1024.20,1028.35,1028.35,1036.45,1668,19434,20080466.00,
500049,BHARAT ELECT,A ,Q,1215.00,1218.45,1192.00,1197.75,1197.75,1219.50,2201,26777,32241816.00,
500052,BHANSALI ENG,B ,Q,18.10,19.15,18.00,18.70,18.70,18.00,185,55123,1028386.00,
500055,BHUSH STEEL ,A ,Q,35.95,36.80,35.80,36.45,36.45,35.90,380,46833,1701200.00,
500058,BIHAR SPONGE,XT,Q,2.65,2.65,2.44,2.44,2.56,2.56,7,1530,3738.00,
500059,BINANI IND. ,B ,Q,63.00,66.70,63.00,64.25,64.25,62.05,138,9007,580089.00,
