SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1215.00,1245.00,1215.00,1237.00,1235.00,1216.75,1209,6736,8332849.00,
500003,AEGIS LOGIS ,B ,Q,122.40,128.00,119.00,123.50,123.50,121.75,8095,2179874,262384927.00,
500008,AMAR RAJA BA,A ,Q,859.95,878.70,859.95,873.90,873.90,853.15,1650,22381,19482146.00,
500009,A.SARABHAI  ,XD,Q,7.15,8.25,7.15,8.02,8.00,7.15,132,45650,352553.00,
500010,HDFC        ,A ,Q,1212.95,1212.95,1190.50,1205.85,1205.85,1199.50,3251,78248,94048148.00,
500012,ANDHRA PETRO,XC,Q,15.02,15.50,12.81,13.15,13.15,15.04,783,521510,7132389.00,
500013,ANSAL INFRAS,B ,Q,21.95,22.50,21.75,21.90,21.90,21.95,177,26643,588760.00,
500014,APPLE FINANC,XD,Q,2.25,2.25,2.10,2.23,2.20,2.23,34,35230,77553.00,
500020,BOM DYEING  ,B ,Q,45.45,46.00,45.10,45.30,45.30,45.10,914,126889,5779521.00,
500023,ASIANHOTNR  ,B ,Q,107.15,109.90,107.10,109.90,109.90,109.90,3,5,538.00,
500024,ASSAMCO     ,B ,Q,5.97,6.29,5.97,6.12,6.12,6.05,552,485925,3014604.00,
500027,ATUL LTD.   ,A ,Q,1878.00,1905.00,1863.00,1869.95,1869.95,1868.95,199,1463,2755343.00,
500028,ATV PROJECTS,XT,Q,6.95,7.28,6.66,7.07,7.09,6.95,26,12119,84087.00,
500029,AUTOLITE(I) ,B ,Q,51.20,51.20,49.00,49.35,49.35,50.50,37,4106,204111.00,
500030,AUTORID.FIN ,T ,Q,0.57,0.57,0.57,0.57,0.57,0.59,1,200,114.00,
500031,BAJAJ ELECT.,A ,Q,230.40,230.80,229.00,230.35,230.35,228.90,355,14553,3345271.00,
500032,BAJAJHIND   ,B ,Q,22.90,23.50,22.75,22.90,22.90,22.70,4422,2919430,67238118.00,
500033,FORCE MOTR  ,B ,Q,2932.00,2956.00,2906.00,2914.00,2914.00,2926.20,2142,26795,78406786.00,
500034,BAJFINANCE  ,A ,Q,7506.70,7678.00,7492.70,7647.10,7640.00,7488.00,978,5712,43270177.00,
500038,BALRAM.CHINI,A ,Q,123.00,126.00,119.40,120.80,120.80,123.00,5868,587558,72146352.00,
500039,BANCO PROD. ,B ,Q,138.15,146.60,138.10,144.30,144.30,137.90,1636,150043,21537409.00,
500040,CENTURY TEXT,A ,Q,632.05,639.90,631.70,637.70,637.70,630.60,1575,57360,36467886.00,
500041,BANNARI AMAN,B ,Q,2140.00,2200.00,2045.00,2095.85,2100.05,2123.25,395,2095,4489937.00,
500042,BASF INDIA  ,B ,Q,985.05,1043.95,980.50,1021.95,1021.95,984.95,1460,13632,13912647.00,
500043,BATA INDIA  ,A ,Q,545.70,547.80,540.80,543.25,543.00,541.85,1291,21310,11583582.00,
500048,BEML LTD    ,A ,Q,853.20,853.95,841.00,848.10,848.10,851.05,2104,38909,33016068.00,
500049,BHARAT ELECT,A ,Q,1247.05,1279.35,1247.05,1260.50,1260.50,1244.80,3397,42238,53525456.00,
500051,BHAG GAS    ,Z ,Q,0.50,0.50,0.50,0.50,0.50,0.52,1,100,50.00,
500052,BHANSALI ENG,B ,Q,20.45,20.90,20.45,20.50,20.50,20.15,136,32288,666964.00,
500055,BHUSH STEEL ,A ,Q,41.20,41.20,39.25,39.65,39.65,40.65,766,91824,3648953.00,
500058,BIHAR SPONGE,XT,Q,2.62,2.62,2.50,2.50,2.50,2.50,14,5305,13458.00,
500059,BINANI IND. ,B ,Q,67.35,67.90,66.35,67.40,67.40,66.35,77,8411,563752.00,
500060,BIRLA ERIC. ,T ,Q,35.00,36.80,35.00,35.40,35.30,35.25,25,2725,96714.00,
500067,BLUE STAR   ,B ,Q,430.00,435.35,425.00,432.95,434.00,427.40,505,6285,2701102.00,
500068,DISA INDIA  ,XC,Q,3910.00,3950.00,3900.00,3900.15,3900.00,3915.00,13,78,305216.00,
500069,BNK CAPITAL ,XD,Q,29.50,29.50,27.80,28.05,28.05,28.10,6,1253,36595.00,
500074,BPL LTD.    ,B ,Q,29.35,29.35,28.75,28.95,28.95,29.15,71,10334,300004.00,
500078,CAMPH.& ALL ,XC,Q,522.20,543.80,522.20,528.30,525.50,530.35,52,2344,1235482.00,
