SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1133.00,1150.00,1129.00,1140.95,1140.95,1139.05,635,3606,4107712.00,
500003,AEGIS LOGIS ,B ,Q,103.90,109.00,103.10,105.35,105.85,104.55,860,63595,6751665.00,
500008,AMAR RAJA BA,A ,Q,914.05,926.20,905.10,909.85,909.50,912.10,1688,14908,13673116.00,
500009,A.SARABHAI  ,XD,Q,6.05,6.20,5.92,6.18,6.18,6.01,54,19369,119106.00,
500010,HDFC        ,A ,Q,1149.00,1149.00,1109.00,1114.10,1114.10,1156.05,9080,224302,251174552.00,
500012,ANDHRA PETRO,XC,Q,11.30,12.19,11.15,11.60,11.60,11.87,72,45694,532858.00,
500013,ANSAL INFRAS,B ,Q,18.00,18.00,17.55,17.70,17.75,17.80,89,20082,354580.00,
500014,APPLE FINANC,XD,Q,2.01,2.20,1.70,2.07,2.18,1.90,32,12265,24786.00,
500020,BOM DYEING  ,B ,Q,47.25,47.30,45.20,45.45,45.45,47.20,822,73361,3364117.00,
500023,ASIANHOTNR  ,B ,Q,113.00,118.20,110.00,114.50,114.90,112.60,33,8707,1008811.00,
500024,ASSAMCO     ,B ,Q,5.45,5.53,5.21,5.28,5.28,5.31,215,186066,996530.00,
500027,ATUL LTD.   ,A ,Q,1470.00,1514.50,1470.00,1493.95,1493.95,1498.20,174,843,1260912.00,
500028,ATV PROJECTS,XT,Q,8.25,8.30,8.10,8.10,8.10,8.39,9,1500,12402.00,
500029,AUTOLITE(I) ,B ,Q,44.25,45.30,44.10,45.30,45.30,46.55,8,226,9982.00,
500031,BAJAJ ELECT.,A ,Q,189.00,197.00,189.00,192.80,192.55,190.85,841,29635,5753033.00,
500032,BAJAJHIND   ,B ,Q,16.85,19.14,16.83,18.62,18.62,16.73,6348,3579681,63929278.00,
500033,FORCE MOTR  ,B ,Q,2662.00,2663.00,2601.00,2617.50,2617.50,2654.50,2739,31765,83412352.00,
500034,BAJFINANCE  ,A ,Q,6516.75,6599.00,6405.50,6467.45,6467.45,6520.90,1634,5035,32839091.00,
500038,BALRAM.CHINI,A ,Q,96.70,99.75,95.35,98.80,98.80,95.45,10225,1425156,139514929.00,
500039,BANCO PROD. ,B ,Q,101.30,101.55,98.80,99.40,99.40,99.90,536,29886,2990366.00,
500040,CENTURY TEXT,A ,Q,489.20,490.50,478.70,482.85,482.85,488.15,2296,88798,42896587.00,
500041,BANNARI AMAN,B ,Q,1240.50,1338.75,1238.25,1324.25,1324.25,1213.75,401,3515,4612358.00,
500042,BASF INDIA  ,B ,Q,769.00,773.00,763.00,768.25,768.25,760.05,263,5436,4165861.00,
500043,BATA INDIA  ,A ,Q,496.70,498.25,486.60,490.20,486.65,497.95,1619,26956,13265830.00,
500048,BEML LTD    ,A ,Q,1042.00,1044.85,1024.10,1031.20,1031.20,1034.65,769,5794,5977907.00,
500049,BHARAT ELECT,A ,Q,1074.00,1074.40,1046.80,1060.30,1060.30,1068.55,2099,20830,22050006.00,
500051,BHAG GAS    ,Z ,Q,1.03,1.03,1.03,1.03,1.03,1.08,1,500,515.00,
500052,BHANSALI ENG,B ,Q,19.35,19.50,18.05,18.15,18.15,19.35,317,112914,2107994.00,
500055,BHUSH STEEL ,A ,Q,38.50,38.50,37.00,37.35,37.35,38.15,631,73310,2747826.00,
500058,BIHAR SPONGE,XT,Q,2.60,2.61,2.37,2.58,2.58,2.49,16,4254,10778.00,
500059,BINANI IND. ,B ,Q,57.00,57.95,56.60,56.80,56.80,57.20,23,2488,141902.00,
500060,BIRLA ERIC. ,T ,Q,34.80,34.80,32.65,32.70,32.65,33.65,68,51682,1706000.00,
500067,BLUE STAR   ,B ,Q,346.00,349.80,342.55,345.15,346.95,344.20,377,7348,2541451.00,
500068,DISA INDIA  ,XC,Q,4099.00,4300.00,4010.00,4025.00,4025.00,4066.50,7,11,44972.00,
500069,BNK CAPITAL ,XD,Q,29.20,29.40,29.20,29.40,29.40,28.00,5,500,14655.00,
500074,BPL LTD.    ,B ,Q,28.60,28.60,28.15,28.35,28.35,28.70,53,9488,269008.00,
500078,CAMPH.& ALL ,XC,Q,484.00,484.00,452.70,453.50,456.00,460.70,41,899,412153.00,
500083,CENTURY EXT ,B ,Q,1.75,1.85,1.71,1.72,1.71,1.77,16,15443,27215.00,
500084,CESC LTD.   ,A ,Q,465.00,484.00,463.25,479.50,479.50,464.45,2470,30496,14527375.00,
500085,CHAMBAL FERT,B ,Q,56.50,56.60,54.30,54.50,54.50,55.05,1163,144850,7971189.00,
500086,EXIDE IND.  ,A ,Q,137.90,138.00,133.60,135.20,135.20,136.80,1670,152947,20751444.00,
500087,CIPLA LTD.  ,A ,Q,535.00,538.00,521.60,524.70,524.70,538.05,3807,126355,66593374.00,
500089,DIC INDIA   ,B ,Q,565.00,565.00,555.00,562.75,565.00,563.50,8,124,69737.00,
500092,CRISIL LTD  ,A ,Q,1790.00,1797.75,1767.05,1770.75,1770.75,1790.70,160,675,1201629.00,
